dataset_label,relative_file_path,extension,byte_size,modified_time,archive_container_type,sha256,file_role_from_filename_only,parsing_status,error_class,parsing_details_json
LOCAL_DIR_025,data/raw/aigub/025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/1.Training/라벨링데이터/TL1/일상생활및구어체_영한_train_set.json,.json,1009131497,2026-08-16T13:04:26+09:00,NONE,922fa5e307d80436644f63ec180be387dc4b3c63b5ffaf86b43f0f834515c0f1,unknown,PARSEABLE,,"{""candidate_record_path"": ""root.data[*]"", ""top_level_type"": ""object""}"
LOCAL_DIR_025,data/raw/aigub/025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/1.Training/라벨링데이터/TL2/일상생활및구어체_한영_train_set.json,.json,972643210,2026-08-16T13:04:25+09:00,NONE,5e0fdf49b5c7b3b1ca89b4e9c7b6d16c91f23b6a51e555ca7e92a89e82e45c67,unknown,PARSEABLE,,"{""candidate_record_path"": ""root.data[*]"", ""top_level_type"": ""object""}"
LOCAL_DIR_025,data/raw/aigub/025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/1.Training/원천데이터/TS1/일상생활및구어체_영한_train_set.json,.json,1009131497,2026-08-16T13:04:26+09:00,NONE,922fa5e307d80436644f63ec180be387dc4b3c63b5ffaf86b43f0f834515c0f1,unknown,PARSEABLE,,"{""candidate_record_path"": ""root.data[*]"", ""top_level_type"": ""object""}"
LOCAL_DIR_025,data/raw/aigub/025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/1.Training/원천데이터/TS2/일상생활및구어체_한영_train_set.json,.json,972643210,2026-08-16T13:04:25+09:00,NONE,5e0fdf49b5c7b3b1ca89b4e9c7b6d16c91f23b6a51e555ca7e92a89e82e45c67,unknown,PARSEABLE,,"{""candidate_record_path"": ""root.data[*]"", ""top_level_type"": ""object""}"
LOCAL_DIR_025,data/raw/aigub/025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/2.Validation/라벨링데이터/VL1/일상생활및구어체_영한_valid_set.json,.json,131341219,2026-08-16T13:03:51+09:00,NONE,ca574c2d5c14efd8513ed95a6a950ffe14896b1cfc1ada77db7f8fd5f4358c3c,unknown,PARSEABLE,,"{""candidate_record_path"": ""root.data[*]"", ""top_level_type"": ""object""}"
LOCAL_DIR_025,data/raw/aigub/025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/2.Validation/라벨링데이터/VL1/일상생활및구어체_한영_valid_set.json,.json,121536888,2026-08-16T13:03:51+09:00,NONE,02dce9c0cc9c6da6ef088b410715b0397d667f349ad05df9ce8be91aacd6a1cc,unknown,PARSEABLE,,"{""candidate_record_path"": ""root.data[*]"", ""top_level_type"": ""object""}"
LOCAL_DIR_025,data/raw/aigub/025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/2.Validation/원천데이터/VS1/일상생활및구어체_영한_valid_set.json,.json,131341219,2026-08-16T13:03:51+09:00,NONE,ca574c2d5c14efd8513ed95a6a950ffe14896b1cfc1ada77db7f8fd5f4358c3c,unknown,PARSEABLE,,"{""candidate_record_path"": ""root.data[*]"", ""top_level_type"": ""object""}"
LOCAL_DIR_025,data/raw/aigub/025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/2.Validation/원천데이터/VS1/일상생활및구어체_한영_valid_set.json,.json,121536888,2026-08-16T13:03:51+09:00,NONE,02dce9c0cc9c6da6ef088b410715b0397d667f349ad05df9ce8be91aacd6a1cc,unknown,PARSEABLE,,"{""candidate_record_path"": ""root.data[*]"", ""top_level_type"": ""object""}"
LOCAL_DIR_025,data/raw/aigub/025.일상생활 및 구어체 한-영 번역 병렬 말뭉치 데이터/01.데이터/2.Validation/원천데이터/VS1.zip,.zip,30422138,2026-08-16T13:03:45+09:00,zip,f7cd73e0be354dfa554cf7ca8ae1b30148d459a5d9b7205420a3ab8814c45efc,archive,PARSEABLE,,"{""bad_member"": null, ""members"": [{""bytes"": 131341219, ""name"": ""일상생활및구어체_영한_valid_set.json""}, {""bytes"": 121536888, ""name"": ""일상생활및구어체_한영_valid_set.json""}]}"
LOCAL_DIR_026,data/raw/aigub/026.기술과학 분야 한-영 번역 병렬 말뭉치 데이터/01.데이터/1.Training/라벨링데이터/TL1/기술과학분야_한영_train_set.json,.json,1640578869,2026-08-16T13:18:24+09:00,NONE,b08ea5e620cc25d23e4cd263d0146e64f1673de04d1d865c082ff89938b97880,unknown,PARSEABLE,,"{""candidate_record_path"": ""root.data[*]"", ""top_level_type"": ""object""}"
LOCAL_DIR_026,data/raw/aigub/026.기술과학 분야 한-영 번역 병렬 말뭉치 데이터/01.데이터/1.Training/원천데이터/TS1/기술과학분야_한영_train_set.json,.json,1640578869,2026-08-16T13:18:24+09:00,NONE,b08ea5e620cc25d23e4cd263d0146e64f1673de04d1d865c082ff89938b97880,unknown,PARSEABLE,,"{""candidate_record_path"": ""root.data[*]"", ""top_level_type"": ""object""}"
LOCAL_DIR_026,data/raw/aigub/026.기술과학 분야 한-영 번역 병렬 말뭉치 데이터/01.데이터/2.Validation/라벨링데이터/VL1/기술과학분야_한영_valid_set.json,.json,205220147,2026-08-16T13:17:33+09:00,NONE,7e4adc920654a3321539f214ae082e273d6a38abfe59c5a2f9282208a3a41863,unknown,PARSEABLE,,"{""candidate_record_path"": ""root.data[*]"", ""top_level_type"": ""object""}"
LOCAL_DIR_026,data/raw/aigub/026.기술과학 분야 한-영 번역 병렬 말뭉치 데이터/01.데이터/2.Validation/원천데이터/VS1/기술과학분야_한영_valid_set.json,.json,205220147,2026-08-16T13:17:33+09:00,NONE,7e4adc920654a3321539f214ae082e273d6a38abfe59c5a2f9282208a3a41863,unknown,PARSEABLE,,"{""candidate_record_path"": ""root.data[*]"", ""top_level_type"": ""object""}"
LOCAL_LEGACY_KO_EN_XLSX,data/raw/aigub/한국어-영어 번역(병렬) 말뭉치/1_구어체(1).xlsx,.xlsx,15816496,2026-08-16T13:19:27+09:00,NONE,0fd712b2d62c054bed364fd41af59019a3cc6c05093d0541f538029996b240a8,spreadsheet,PARSEABLE,,"{""sheets"": [{""headers"": [""SID"", ""원문"", ""번역문""], ""max_column"": 3, ""max_row"": 200001, ""sheet"": ""Sheet0""}]}"
LOCAL_LEGACY_KO_EN_XLSX,data/raw/aigub/한국어-영어 번역(병렬) 말뭉치/1_구어체(2).xlsx,.xlsx,14317360,2026-08-16T13:19:27+09:00,NONE,f673f1c8fb73bad83e9ba097a45e47883f94d009d51ad42e636ce32c67d13219,spreadsheet,PARSEABLE,,"{""sheets"": [{""headers"": [""SID"", ""원문"", ""번역문""], ""max_column"": 4, ""max_row"": 200001, ""sheet"": ""Sheet0""}]}"
LOCAL_LEGACY_KO_EN_XLSX,data/raw/aigub/한국어-영어 번역(병렬) 말뭉치/2_대화체.xlsx,.xlsx,9566182,2026-08-16T13:19:27+09:00,NONE,b98b105d8f5efd20d6a1a6a69071d8b13ddc337c817c17f78100b1b793d20dd1,spreadsheet,PARSEABLE,,"{""sheets"": [{""headers"": [""대분류"", ""소분류"", ""상황"", ""Set Nr."", ""발화자"", ""원문"", ""번역문""], ""max_column"": 7, ""max_row"": 100001, ""sheet"": ""Sheet0""}]}"
