dataset_label,source_or_family,format,json_top_level_type,candidate_record_path,exact_record_count,estimated_record_count,field_path,inferred_scalar_type,null_count,null_rate,unique_count_or_status,min_string_length,median_string_length,max_string_length,language_script_profile,candidate_text,candidate_id,candidate_metadata,name_suggests_korean,name_suggests_english,name_suggests_source_target_original_translation,name_suggests_cleaning_normalization,evidence_status
LOCAL_DIR_025,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200000,1200000,root.data.ko,"{""string"": 1200000}",0,0.0,1059798,1,25,297,"{""digit"": 0.00924679, ""emoji_symbol"": 1.985e-05, ""hangul"": 0.71293268, ""latin"": 0.0129445, ""other"": 0.00927902, ""punctuation"": 0.04785293, ""whitespace"": 0.20772423}",True,False,False,True,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200000,1200000,root.data.ko_original,"{""string"": 1200000}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,1,25,297,,True,False,False,True,False,True,False,LOCAL_OBSERVED
LOCAL_DIR_025,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200000,1200000,root.data.license,"{""string"": 1200000}",0,0.0,1,4,4,4,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200000,1200000,root.data.mt,"{""string"": 1200000}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,1,49,377,,True,False,False,False,False,True,False,LOCAL_OBSERVED
LOCAL_DIR_025,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200000,1200000,root.data.ner,"{""null"": 1164103, ""object"": 35897}",1164103,0.9700858333333333,NOT_COMPUTED_HIGH_CARDINALITY,,,,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200000,1200000,root.data.sn,"{""string"": 1200000}",0,0.0,1200000,19,25,26,,False,True,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200000,1200000,root.data.source,"{""string"": 1200000}",0,0.0,2,3,6,6,,False,False,True,False,False,True,False,LOCAL_OBSERVED
LOCAL_DIR_025,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200000,1200000,root.data.source_language,"{""string"": 1200000}",0,0.0,1,2,2,2,,False,False,True,False,False,True,False,LOCAL_OBSERVED
LOCAL_DIR_025,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200000,1200000,root.data.style,"{""string"": 1200000}",0,0.0,1,3,3,3,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200000,1200000,root.data.subdomain,"{""string"": 1200000}",0,0.0,11,2,5,9,,False,False,True,False,False,False,False,LOCAL_OBSERVED
