dataset_label,file_family,metadata_concept,field_paths,inferred_type,non_null_rate,cardinality_or_status,observed_categories_counts_json,status
LOCAL_DIR_025,TRAIN_EN_TO_KO,source,file_name|source,see schema inventory,1.0,1,"{""source"":[[""크라우드 소싱"",1200307]]}",DIRECTLY_OBSERVED
LOCAL_DIR_025,TRAIN_EN_TO_KO,domain,domain|subdomain,see schema inventory,1.0,11,"{""domain"":[[""해외영업"",480217],[""일상생활"",449952],[""해외고객과의채팅"",270138]],""subdomain"":[[""도소매유통"",344995],[""여행"",134963],[""음식"",134931],[""정보통신"",94602],[""구매"",90135],[""예약"",89923],[""부동산"",76587]]}",DIRECTLY_OBSERVED
LOCAL_DIR_025,TRAIN_EN_TO_KO,style,style,see schema inventory,1.0,1,"{""style"":[[""구어체"",1200307]]}",DIRECTLY_OBSERVED
LOCAL_DIR_025,TRAIN_EN_TO_KO,document_id,sn,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_DIR_025,TRAIN_EN_TO_KO,direction,source_language|target_language,see schema inventory,1.0,1,"{""source_language"":[[""en"",1200307]],""target_language"":[[""ko"",1200307]]}",DIRECTLY_OBSERVED
LOCAL_DIR_025,TRAIN_EN_TO_KO,split,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,TRAIN_EN_TO_KO,license,license,see schema inventory,1.0,1,"{""license"":[[""open"",1200307]]}",DIRECTLY_OBSERVED
LOCAL_DIR_025,TRAIN_EN_TO_KO,qc,included_unknown_words|ner,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_DIR_025,TRAIN_EN_TO_KO,date_time,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,TRAIN_EN_TO_KO,author_speaker,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,TRAIN_EN_TO_KO,url,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,TRAIN_EN_TO_KO,translation_actor,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,TRAIN_EN_TO_KO,pii_masking,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,TRAIN_EN_TO_KO,preprocessing,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,TRAIN_KO_TO_EN,source,file_name|source,see schema inventory,1.0,2,"{""source"":[[""크라우드소싱"",800096],[""SBS"",399904]]}",DIRECTLY_OBSERVED
