dataset_label,file_family,metadata_concept,field_paths,inferred_type,non_null_rate,cardinality_or_status,observed_categories_counts_json,status
LOCAL_DIR_025,TRAIN_KO_TO_EN,domain,domain|subdomain,see schema inventory,1.0,11,"{""domain"":[[""해외영업"",560002],[""일상생활"",399904],[""해외고객과의채팅"",240094]],""subdomain"":[[""도소매유통"",471897],[""음식"",159892],[""여행"",119875],[""연구개발,과학기술"",96248],[""정보통신"",84116],[""구매"",80058],[""숙박,음식점"",63863]]}",DIRECTLY_OBSERVED
LOCAL_DIR_025,TRAIN_KO_TO_EN,style,style,see schema inventory,1.0,1,"{""style"":[[""구어체"",1200000]]}",DIRECTLY_OBSERVED
LOCAL_DIR_025,TRAIN_KO_TO_EN,document_id,sn,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_DIR_025,TRAIN_KO_TO_EN,direction,source_language|target_language,see schema inventory,1.0,1,"{""source_language"":[[""ko"",1200000]],""target_language"":[[""en"",1200000]]}",DIRECTLY_OBSERVED
LOCAL_DIR_025,TRAIN_KO_TO_EN,split,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,TRAIN_KO_TO_EN,license,license,see schema inventory,1.0,1,"{""license"":[[""open"",1200000]]}",DIRECTLY_OBSERVED
LOCAL_DIR_025,TRAIN_KO_TO_EN,qc,included_unknown_words|ner,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_DIR_025,TRAIN_KO_TO_EN,date_time,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,TRAIN_KO_TO_EN,author_speaker,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,TRAIN_KO_TO_EN,url,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,TRAIN_KO_TO_EN,translation_actor,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,TRAIN_KO_TO_EN,pii_masking,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,TRAIN_KO_TO_EN,preprocessing,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,VALID_EN_TO_KO,source,file_name|source,see schema inventory,1.0,1,"{""source"":[[""크라우드 소싱"",150038]]}",DIRECTLY_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,domain,domain|subdomain,see schema inventory,1.0,1,"{""domain"":[[""해외영업"",150038]],""subdomain"":[[""도소매유통"",150038]]}",DIRECTLY_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,style,style,see schema inventory,1.0,1,"{""style"":[[""구어체"",150038]]}",DIRECTLY_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,document_id,sn,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,direction,source_language|target_language,see schema inventory,1.0,1,"{""source_language"":[[""en"",150038]],""target_language"":[[""ko"",150038]]}",DIRECTLY_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,split,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,VALID_EN_TO_KO,license,license,see schema inventory,1.0,1,"{""license"":[[""open"",150038]]}",DIRECTLY_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,qc,included_unknown_words|ner,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,date_time,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,VALID_EN_TO_KO,author_speaker,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,VALID_EN_TO_KO,url,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,VALID_EN_TO_KO,translation_actor,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,VALID_EN_TO_KO,pii_masking,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,VALID_EN_TO_KO,preprocessing,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,VALID_KO_TO_EN,source,file_name|source,see schema inventory,1.0,2,"{""source"":[[""크라우드소싱"",100099],[""SBS"",49901]]}",DIRECTLY_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,domain,domain|subdomain,see schema inventory,1.0,11,"{""domain"":[[""해외영업"",70110],[""일상생활"",49901],[""해외고객과의채팅"",29989]],""subdomain"":[[""도소매유통"",59049],[""음식"",20092],[""여행"",15001],[""연구개발,과학기술"",11851],[""정보통신"",10568],[""구매"",9870],[""숙박,음식점"",8048]]}",DIRECTLY_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,style,style,see schema inventory,1.0,1,"{""style"":[[""구어체"",150000]]}",DIRECTLY_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,document_id,sn,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,direction,source_language|target_language,see schema inventory,1.0,1,"{""source_language"":[[""ko"",150000]],""target_language"":[[""en"",150000]]}",DIRECTLY_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,split,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,VALID_KO_TO_EN,license,license,see schema inventory,1.0,1,"{""license"":[[""open"",150000]]}",DIRECTLY_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,qc,included_unknown_words|ner,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,date_time,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,VALID_KO_TO_EN,author_speaker,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,VALID_KO_TO_EN,url,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,VALID_KO_TO_EN,translation_actor,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,VALID_KO_TO_EN,pii_masking,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_025,VALID_KO_TO_EN,preprocessing,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_026,TRAIN_KO_TO_EN,source,file_name|source,see schema inventory,1.0,2,"{""source"":[[""한국연구재단"",880593],[""특허정보원"",319551]]}",DIRECTLY_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,domain,domain|subdomain,see schema inventory,1.0,15,"{""domain"":[[""세계"",400123],[""기술과학"",319551],[""경제"",240439],[""정치"",160064],[""기후"",79967]],""subdomain"":[[""사회_의료"",136303],[""경제일반"",128234],[""IT"",120052],[""국제기구"",119967],[""빅데이터"",119520]]}",DIRECTLY_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,style,style,see schema inventory,1.0,1,"{""style"":[[""문어체"",1200144]]}",DIRECTLY_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,document_id,sn,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,direction,source_language|target_language,see schema inventory,1.0,1,"{""source_language"":[[""ko"",1200144]],""target_language"":[[""en"",1200144]]}",DIRECTLY_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,split,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_026,TRAIN_KO_TO_EN,license,license,see schema inventory,1.0,1,"{""license"":[[""open"",1200144]]}",DIRECTLY_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,qc,included_unknown_words|ner,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,date_time,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_026,TRAIN_KO_TO_EN,author_speaker,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_026,TRAIN_KO_TO_EN,url,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_026,TRAIN_KO_TO_EN,translation_actor,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_026,TRAIN_KO_TO_EN,pii_masking,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_026,TRAIN_KO_TO_EN,preprocessing,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_026,VALID_KO_TO_EN,source,file_name|source,see schema inventory,1.0,2,"{""source"":[[""한국연구재단"",109659],[""특허정보원"",40359]]}",DIRECTLY_OBSERVED
LOCAL_DIR_026,VALID_KO_TO_EN,domain,domain|subdomain,see schema inventory,1.0,15,"{""domain"":[[""세계"",49818],[""기술과학"",40359],[""경제"",29705],[""정치"",20175],[""기후"",9961]],""subdomain"":[[""사회_의료"",16850],[""경제일반"",15853],[""빅데이터"",15219],[""IT"",15009],[""국제기구"",14912],[""인공지능"",10131]]}",DIRECTLY_OBSERVED
LOCAL_DIR_026,VALID_KO_TO_EN,style,style,see schema inventory,1.0,1,"{""style"":[[""문어체"",150018]]}",DIRECTLY_OBSERVED
LOCAL_DIR_026,VALID_KO_TO_EN,document_id,sn,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_DIR_026,VALID_KO_TO_EN,direction,source_language|target_language,see schema inventory,1.0,1,"{""source_language"":[[""ko"",150018]],""target_language"":[[""en"",150018]]}",DIRECTLY_OBSERVED
LOCAL_DIR_026,VALID_KO_TO_EN,split,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_026,VALID_KO_TO_EN,license,license,see schema inventory,1.0,1,"{""license"":[[""open"",150018]]}",DIRECTLY_OBSERVED
LOCAL_DIR_026,VALID_KO_TO_EN,qc,included_unknown_words|ner,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_DIR_026,VALID_KO_TO_EN,date_time,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_026,VALID_KO_TO_EN,author_speaker,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_026,VALID_KO_TO_EN,url,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_026,VALID_KO_TO_EN,translation_actor,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_026,VALID_KO_TO_EN,pii_masking,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_DIR_026,VALID_KO_TO_EN,preprocessing,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(1),source,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(1),domain,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(1),style,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(1),document_id,SID,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(1),direction,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(1),split,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(1),license,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(1),qc,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(1),date_time,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(1),author_speaker,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(1),url,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(1),translation_actor,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(1),pii_masking,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(1),preprocessing,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(2),source,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(2),domain,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(2),style,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(2),document_id,SID,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(2),direction,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(2),split,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(2),license,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(2),qc,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(2),date_time,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(2),author_speaker,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(2),url,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(2),translation_actor,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(2),pii_masking,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,1_구어체(2),preprocessing,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,2_대화체,source,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,2_대화체,domain,대분류|소분류,see schema inventory,1.0,59,"{""대분류"":[[""여행/쇼핑"",46524],[""비즈니스"",28064],[""일상대화"",24012],[""스포츠"",1000],[""의학"",400]],""소분류"":[[""쇼핑"",10500],[""부서별"",9101],[""교통"",6844],[""회의"",6360],[""여행"",5225],[""식당"",5128],[""공항"",5092],[""회사 내"",4859]]}",DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,2_대화체,style,상황,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,2_대화체,document_id,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,2_대화체,direction,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,2_대화체,split,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,2_대화체,license,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,2_대화체,qc,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,2_대화체,date_time,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,2_대화체,author_speaker,발화자,see schema inventory,1.0,4,"{""발화자"":[[""A-1"",25003],[""B-2"",25003],[""B-1"",24997],[""A-2"",24997]]}",DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,2_대화체,url,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,2_대화체,translation_actor,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,2_대화체,pii_masking,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,2_대화체,preprocessing,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(1)_200226,source,언론사,see schema inventory,1.0,11,"{""언론사"":[[""국민일보"",51065],[""서울경제"",50382],[""한겨레"",45259],[""내일신문"",18519],[""노컷뉴스"",11607],[""파이낸셜뉴스"",8622],[""전자신문"",7255],[""스포츠서울"",3926],[""SBS"",2044],[""미디어오늘"",1329],[""한국국제문화교류진흥원"",3]]}",DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(1)_200226,domain,자동분류1|자동분류2|자동분류3,see schema inventory,1.0,88,"{""자동분류1"":[[""경제,산업_기업"",14231],[""사회,사건_사고"",9853],[""문화,방송_연예"",7552],[""사회,사회일반"",7310],[""경제,국제경제"",6647],[""정치,북한"",5880],[""경제,금융_재테크"",5406],[""미분류"",4928],[""정치,청와대"",4722],[""정치,국회_정당"",4474]]}",DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(1)_200226,style,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(1)_200226,document_id,ID,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(1)_200226,direction,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(1)_200226,split,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(1)_200226,license,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(1)_200226,qc,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(1)_200226,date_time,날짜,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(1)_200226,author_speaker,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(1)_200226,url,URL,see schema inventory,0.9223392713400763,,,DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(1)_200226,translation_actor,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(1)_200226,pii_masking,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(1)_200226,preprocessing,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(2),source,언론사,see schema inventory,1.0,11,"{""언론사"":[[""국민일보"",54622],[""서울경제"",47835],[""한겨레"",34003],[""노컷뉴스"",15550],[""파이낸셜뉴스"",11506],[""전자신문"",10723],[""내일신문"",9996],[""스포츠서울"",7623],[""한국국제문화교류진흥원"",3395],[""SBS"",3176],[""미디어오늘"",2112]]}",DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(2),domain,자동분류1|자동분류2|자동분류3,see schema inventory,1.0,94,"{""자동분류1"":[[""사회,사건_사고"",12770],[""경제,산업_기업"",10003],[""사회,사회일반"",9641],[""문화,방송_연예"",9360],[""정치,북한"",5859],[""경제,국제경제"",5044],[""정치,청와대"",4971],[""문화,출판"",4918],[""국제,국제일반"",4532],[""문화,학술_문화재"",4240]]}",DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(2),style,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(2),document_id,ID,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(2),direction,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(2),split,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(2),license,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(2),qc,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(2),date_time,날짜,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(2),author_speaker,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(2),url,URL,see schema inventory,0.8844475693249759,,,DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(2),translation_actor,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(2),pii_masking,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(2),preprocessing,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(3),source,언론사,see schema inventory,1.0,10,"{""언론사"":[[""국민일보"",97351],[""내일신문"",32386],[""서울경제"",29018],[""한겨레"",16563],[""노컷뉴스"",9456],[""파이낸셜뉴스"",5925],[""전자신문"",5090],[""스포츠서울"",3029],[""SBS"",1366],[""미디어오늘"",651]]}",DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(3),domain,자동분류1|자동분류2|자동분류3,see schema inventory,1.0,86,"{""자동분류1"":[[""사회,사건_사고"",15434],[""사회,사회일반"",10658],[""경제,산업_기업"",9611],[""문화,방송_연예"",7338],[""정치,북한"",6772],[""사회,교육_시험"",6722],[""미분류"",5687],[""사회,의료_건강"",5225],[""국제,국제일반"",4950],[""문화,학술_문화재"",4867]]}",DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(3),style,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(3),document_id,ID,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(3),direction,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(3),split,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(3),license,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(3),qc,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(3),date_time,날짜,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(3),author_speaker,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(3),url,URL,see schema inventory,0.9378345407921926,,,DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(3),translation_actor,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(3),pii_masking,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
