direction,raw_source,raw_domain,record_count
EN_TO_KO,크라우드 소싱,일상생활,449952
EN_TO_KO,크라우드 소싱,해외고객과의채팅,270138
EN_TO_KO,크라우드 소싱,해외영업,630255
KO_TO_EN,SBS,일상생활,449805
KO_TO_EN,크라우드소싱,해외고객과의채팅,270083
KO_TO_EN,크라우드소싱,해외영업,630112
