no,pair_id,logical_corpus,translation_direction,domain,length_stratum,eojeol_count,morpheme_count,particle_count,ending_count,deriv_affix_count,morpheme_density,particle_ratio,ending_ratio,deriv_affix_ratio,function_morpheme_ratio,analysis_warning_flag,analysis_warning_reason,has_irregular_affix,sample_reason,stable_rank
38,pair_0000a0a61652d2becbe76f4191057cbb5dfed5c67eb26b0bbb94ce7b8160ad9f,026,KO_TO_EN,other,Q5,29,59,12,9,3,2.0344827586206895,0.2033898305084746,0.15254237288135594,0.05084745762711865,0.3559322033898305,False,NONE,False,B_eojeol_top,11b8f9ac799ceab20c0e90bc96461612
39,pair_000f5c3ff9ed6ebcafe560c52126a0cd69a9c8aecf6db1fcade661b26c6a092a,026,KO_TO_EN,technology,Q4,15,33,5,4,2,2.2,0.15151515151515152,0.12121212121212122,0.06060606060606061,0.2727272727272727,False,NONE,False,A_domain_technology,1211c737ce7a179693dd169bb004fb28
40,pair_000af4134b3291bd275d9d0c66ddec4356bd65c03a93532a6344312349438618,025,EN_TO_KO,general,Q1,6,14,3,2,1,2.3333333333333335,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.35714285714285715,False,NONE,True,D_irregular_affix_case,128e643d94aa32ae7665bbf5dbcb5f3e
41,pair_000452556a5afa598779f2fea63f7f12442f05d0bb459767075a8648bbca4388,025,UNKNOWN,other,Q1,7,11,0,2,1,1.5714285714285714,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,False,NONE,False,D_direction_fill_UNKNOWN,13139aa9dd21d3bb27a78470d0130dde
42,pair_0001698f0f2f93061dd61592d8937078da9beed1ecf44b4a8141149b48c2b84a,026,KO_TO_EN,technology,Q5,22,44,6,7,5,2.0,0.13636363636363635,0.1590909090909091,0.11363636363636363,0.29545454545454547,False,NONE,False,A_domain_technology,134768de2add89732f9b3ebb24694c9d
43,pair_000fee09c369d2d7298c46a2f3a15ca19a161c20ca9ee7dea5225ef60a8f16a2,026,KO_TO_EN,technology,Q5,18,66,9,5,4,3.6666666666666665,0.13636363636363635,0.07575757575757576,0.06060606060606061,0.21212121212121213,False,NONE,False,A_domain_technology,15b817b97fa5e33decab590a03db2cd9
44,pair_000933374f47f5abe21ca49b6d0c7ca38ac060f272b2c1bffdde61ac71a0dc65,025,UNKNOWN,other,Q1,5,11,2,1,1,2.2,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.2727272727272727,False,NONE,False,D_direction_fill_UNKNOWN,1611e2be6d4b16f55e604fe379e0c0ab
45,pair_00098b9d409c9734246b694e77759320eedc99191eb2a6b12f457d1cfb3e55f9,026,KO_TO_EN,technology,Q5,20,41,6,6,5,2.05,0.14634146341463414,0.14634146341463414,0.12195121951219512,0.2926829268292683,False,NONE,False,A_domain_technology,1671f749337cbcf5771b3af04dc66d67
46,pair_000e54fe61fd9abd988987ef2858a562569fab8db03e8710500403f8e8b3fdbc,026,KO_TO_EN,other,Q5,30,64,12,11,5,2.1333333333333333,0.1875,0.171875,0.078125,0.359375,False,NONE,False,B_morpheme_count_top,1a7fe5dad497b33b41c548cba004977d
47,pair_0003f3844de2e14d74faeba07ac582e325a47ac983489adf5fd26e152fee84c8,025,UNKNOWN,dialogue,Q1,6,13,1,4,0,2.1666666666666665,0.07692307692307693,0.3076923076923077,0.0,0.38461538461538464,False,NONE,False,D_direction_fill_UNKNOWN,1cc9201124637a07526c305e25d3db47
48,pair_0002b6e1c048b18a3d3aace312e240e3d55c49e7a091d6e266984babbf9e8473,025,KO_TO_EN,general,Q1,2,4,0,0,0,2.0,0.0,0.0,0.0,0.0,False,NONE,False,C_punctuation,2130e9313d61605e454dabad2f705d74
49,pair_000c668d8baef52d4f748acaf3073c9f3410cc31b38e0ace8fe7fe311fd1b540,026,KO_TO_EN,other,Q5,26,74,11,14,6,2.8461538461538463,0.14864864864864866,0.1891891891891892,0.08108108108108109,0.33783783783783783,False,NONE,False,B_morpheme_count_top,216887a291ccc783b3ad2b5264b552e8
50,pair_000fdbf4b8c6c37fcde3cb19216461660d168350da5c60fd0982250c362b33bd,025,KO_TO_EN,other,Q2,7,18,3,4,1,2.5714285714285716,0.16666666666666666,0.2222222222222222,0.05555555555555555,0.3888888888888889,False,NONE,True,D_irregular_affix_case,265f072bdb5475bdcb4b5c8f3bcdb085
51,pair_000ebeac95d0a2537edc5602178623b6e7ab688d8b5100e54ff6e7913058bfd5,026,KO_TO_EN,technology,Q5,25,46,6,5,1,1.84,0.13043478260869565,0.10869565217391304,0.021739130434782608,0.2391304347826087,False,NONE,False,C_long_technology,2694e4fef33485579d9db1aab2f11514
52,pair_000e71b769b70aa25d0c14ed3ddfe7b7db82dfe1811217ae709a469a6dc2f1f9,025,EN_TO_KO,general,Q1,2,7,0,4,0,3.5,0.0,0.5714285714285714,0.0,0.5714285714285714,False,NONE,False,B_ending_top,2b270acf51da721b101df8ef95ce404d
53,pair_000e6d90836f2ac77a7be71cb7353f3c9411a6f26a00400033133ff1a2f75706,026,KO_TO_EN,other,Q5,30,69,10,14,5,2.3,0.14492753623188406,0.2028985507246377,0.07246376811594203,0.34782608695652173,False,NONE,False,B_morpheme_count_top,2b6dadf86e65def2f600b1b8a71dea5b
54,pair_000da576ae2ce5912df606c4fcdca9eda4ffc53a2507784c380b8827278a1998,026,KO_TO_EN,technology,Q5,25,52,9,7,5,2.08,0.17307692307692307,0.1346153846153846,0.09615384615384616,0.3076923076923077,False,NONE,False,C_long_technology,2cc2f13453d0d3936bac34d3e5e7b1d6
55,pair_0007ad70ee14c5e528816c09459718ab0f09cf7bd54a72962a5bf3ea1eb18340,025,KO_TO_EN,other,Q2,11,22,3,4,2,2.0,0.13636363636363635,0.18181818181818182,0.09090909090909091,0.3181818181818182,False,NONE,True,D_irregular_affix_case,30cdd173b452f8140638e5641c60ca3f
56,pair_0001b5736413d3c87a29dbbad14f19e8be3bd7b890ce4f55b23b18f3547bf2b4,025,UNKNOWN,other,Q3,17,36,5,5,2,2.1176470588235294,0.1388888888888889,0.1388888888888889,0.05555555555555555,0.2777777777777778,False,NONE,False,D_direction_fill_UNKNOWN,3181c9a6e0e285f598cf843182c0d0ac
57,pair_0007c469c4cdb150aba2775ff1050ba76e731669182941027fa4dff3cb8b2875,026,KO_TO_EN,other,Q4,20,42,7,5,4,2.1,0.16666666666666666,0.11904761904761904,0.09523809523809523,0.2857142857142857,False,NONE,False,C_mixed_latin,32f0f5efccb5e75593432fc0338d7533
58,pair_000c0a30d25a89d055ca532ce81cb21073fbe6e44210eede60ce329fbb92349c,025,EN_TO_KO,other,Q3,6,13,0,2,2,2.1666666666666665,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,False,NONE,False,C_digit_unit,33e342b32b70e76e578db2a1e652f47d
59,pair_000e1c5125c33acabaa45b538b3a21ee525dc4fe4cc30a9c96789f144a618b6f,025,KO_TO_EN,dialogue,Q1,3,7,1,1,1,2.3333333333333335,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,False,NONE,False,C_short_dialogue,3424627deb659e7caf14ca84d7ee0ac8
60,pair_000b4b9967259d57c4049448078a4c01f153f2d781f8b0d0ae3fff4477ebe1ec,025,EN_TO_KO,other,Q1,3,9,1,2,2,3.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.3333333333333333,False,NONE,False,B_deriv_affix_top,36d2cbaaf73fe87786e7e84b386b09b9
61,pair_000f27e91f975697ff875d6931cbea758fcbd3579cfaaff18208461e08ca0052,025,KO_TO_EN,general,Q1,1,3,0,0,0,3.0,0.0,0.0,0.0,0.0,False,NONE,False,B_eojeol_bottom,39d483f78715cc6b85b5acd39719147d
62,pair_0009d219c41aab1e31407773fd05f2e50193f82301b7daff6cf5313c647f892d,025,KO_TO_EN,general,Q1,1,3,0,0,0,3.0,0.0,0.0,0.0,0.0,False,NONE,False,B_eojeol_bottom,3cea7273ef4d6808e5c3a1a22aeea4ee
63,pair_0005c6a7f8c2ae3881cf9cde4c1a89106790a3b7159534bfa62cc6e300d7f492,025,KO_TO_EN,dialogue,Q1,3,8,1,1,1,2.6666666666666665,0.125,0.125,0.125,0.25,False,NONE,False,C_short_dialogue,3d67ef51062b7cd05807b565547eb570
64,pair_000cd6ecf1c643042012c820c877637363bd7261f3857503298af93272662078,026,KO_TO_EN,other,Q5,31,57,6,8,4,1.8387096774193548,0.10526315789473684,0.14035087719298245,0.07017543859649122,0.24561403508771928,False,NONE,False,B_eojeol_top,3edc65c7bff822bfbe3a807b4d56cd8d
65,pair_000fc0c3cf3a454771739a3f2ba5069f2a695906d9b4ce85635c093dfffd6fce,025,EN_TO_KO,general,Q4,13,31,5,9,2,2.3846153846153846,0.16129032258064516,0.2903225806451613,0.06451612903225806,0.45161290322580644,False,NONE,True,D_irregular_affix_case,411711db32e407fd5402395bb8555b0f
66,pair_000c9b5df78afb0bb4844e719dec2e1b8b53a035a9e576d381dbb0b375c081ca,025,KO_TO_EN,general,Q1,1,4,0,1,0,4.0,0.0,0.25,0.0,0.25,False,NONE,False,B_eojeol_bottom,419e04449ac71df91a5a51a689b0a996
67,pair_00049f4c183eea6c1e4bd02a1c26a81e681a6fbf4efb1229d9c875f2fac5273a,025,KO_TO_EN,general,Q1,4,6,0,0,0,1.5,0.0,0.0,0.0,0.0,False,NONE,False,B_density_bottom,42fa07941379651ac1dbe89703a0347c
68,pair_0001362fa30c4d2b74bb5bba3b2eeb778a7af80c86f697f007e75908ae031bfe,026,KO_TO_EN,other,Q5,29,62,11,7,6,2.1379310344827585,0.1774193548387097,0.11290322580645161,0.0967741935483871,0.2903225806451613,False,NONE,False,B_eojeol_top,4a9036f1fea4bc4fceb6fdf19be4a9bf
69,pair_000441d9d1e9db93b4ce0720aa4f8baffa4d0e5c11c71139ddc42b9473445952,025,KO_TO_EN,dialogue,Q1,4,9,0,4,0,2.25,0.0,0.4444444444444444,0.0,0.4444444444444444,False,NONE,False,B_ending_top,4e3b49f10cd265b32740049562f8ea08
70,pair_0003f7e2da3f8c0a6f59abdfe749f50476d15668ff9eb8aaf1cc92edffbbf4c3,026,KO_TO_EN,other,Q5,27,64,8,17,4,2.3703703703703702,0.125,0.265625,0.0625,0.390625,False,NONE,False,B_morpheme_count_top,52ed13393daaba13504027460f9b9d7e
71,pair_000dfc2690993ee86ee12759cdb0f81dab8f65d97b66a64a5496e9d450057e03,025,KO_TO_EN,general,Q1,1,3,0,0,0,3.0,0.0,0.0,0.0,0.0,False,NONE,False,B_eojeol_bottom,54261bb6c6c87358a64d57990436fd85
72,pair_00034e926aac4d5ccdee87ceffa14875bd014b88634c6aa2d3cd6b562838d900,025,KO_TO_EN,general,Q1,1,2,0,0,0,2.0,0.0,0.0,0.0,0.0,False,NONE,False,B_eojeol_bottom,573812f315792019f92759c238942a26
73,pair_00071a4c40e8de5957a9baab515c34e1db53dc90c88da90a92e6323cd672b46e,025,EN_TO_KO,general,Q1,2,7,0,4,0,3.5,0.0,0.5714285714285714,0.0,0.5714285714285714,False,NONE,False,B_ending_top,5ed12a9c57331b81116689d12d63edfe
74,pair_0002e6ae93f22e790f604911fe6e7ab94f2321fc6d4f3f18787ffed952509886,025,KO_TO_EN,other,Q1,3,9,3,1,1,3.0,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.4444444444444444,False,NONE,False,B_particle_top,61af34440ae5b0034e4c5874ffaeecab
75,pair_000e1a1688cdf16ce3999b6c97f17a83718bd90f39fa3b7ed1b495e9e92d807d,025,KO_TO_EN,general,Q1,1,8,3,0,0,8.0,0.375,0.0,0.0,0.375,False,NONE,False,B_density_top,6713d834d9afbc6d0a769153e62357a5
76,pair_000123c07cb17db344617d555a2f509b27e8f35ffca8140adb1c1a59c53e687c,026,KO_TO_EN,technology,Q4,22,49,4,5,7,2.227272727272727,0.08163265306122448,0.10204081632653061,0.14285714285714285,0.1836734693877551,False,NONE,False,C_digit_unit,68d551a30177a8e81809d99e0c6e0d11
77,pair_0001c14dcb936ebde9b8d8dc7d10c322dd66c27ec59a368de27ae8290bef42f3,025,KO_TO_EN,other,Q3,9,23,2,5,5,2.5555555555555554,0.08695652173913043,0.21739130434782608,0.21739130434782608,0.30434782608695654,False,NONE,False,B_deriv_affix_top,6a820acddb78d25e0ca509764b489d3d
78,pair_000a8bbf0ada52a4556ca95cd645cafc55a8edeccc2be02f6fa38cb34f18ce23,025,EN_TO_KO,dialogue,Q1,3,7,1,2,0,2.3333333333333335,0.14285714285714285,0.2857142857142857,0.0,0.42857142857142855,False,NONE,False,C_short_dialogue,6ab09f6b3ba4cbfc6d386e3bae5bc489
79,pair_000eff7c752541e621b46498ead8e8a6d6c62dd4c3e166d32c03eccd75f81b8e,026,KO_TO_EN,other,Q5,30,47,2,2,0,1.5666666666666667,0.0425531914893617,0.0425531914893617,0.0,0.0851063829787234,False,NONE,False,B_eojeol_top,6ced6421d224295b58b3cc6bf0c30445
80,pair_0005d3169b4b3f4c16194c11f7a72dd6af9e06d175b30b57dc0524d8749b04d6,025,KO_TO_EN,general,Q1,1,4,0,1,0,4.0,0.0,0.25,0.0,0.25,False,NONE,False,C_punctuation,76a60f5a32dda2da4e513988358a231f
81,pair_000e6d0c1c920191a3153177297e6efd9fa9839d76ff1e1548f8f8a3ed18ade8,025,KO_TO_EN,general,Q1,2,3,0,0,0,1.5,0.0,0.0,0.0,0.0,False,NONE,False,B_density_bottom,78efc6108aefee4db363c1fb280aa6a3
82,pair_0000d6dd50783c078efe1a2a5f60fba2670208f7b3d7dc2542eb3c3ab652ea32,025,EN_TO_KO,other,Q1,3,9,1,1,0,3.0,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,False,NONE,False,C_digit_unit,798e9f027e5d0d687ad3c74af0da96ad
83,pair_0009ce936ddcde8dc4a63cb6d600e18b0a355b7fe088c12ba6cd5444dccf46ca,025,EN_TO_KO,dialogue,Q1,2,6,0,2,0,3.0,0.0,0.3333333333333333,0.0,0.3333333333333333,False,NONE,False,C_short_dialogue,8268351a1e7f9a45f2034ef1d114f63c
84,pair_0003420ff4239538f492d5ad5722e8f4b71badcbdf67e6d932c5d62aef2eb2ff,025,KO_TO_EN,general,Q1,1,5,0,1,1,5.0,0.0,0.2,0.2,0.2,False,NONE,False,B_density_top,837ff2ac53dbc8005f09df51d501e19c
85,pair_000d1a483e4f7ab0b98229ec795b3ffed7498cb015f01fef10dad9ab75a1024c,025,KO_TO_EN,general,Q1,5,6,0,0,0,1.2,0.0,0.0,0.0,0.0,False,NONE,False,B_density_bottom,8694a0e948cfa11c266b425bf6a88985
86,pair_0005b2c6ca08cae032e97aaa0085d61af7fc67fb143d0c4c05ff91925f8655d8,025,KO_TO_EN,general,Q1,1,6,0,1,0,6.0,0.0,0.16666666666666666,0.0,0.16666666666666666,False,NONE,False,B_density_top,86c8109ac267e5ebc3ab77b21c7eda9d
87,pair_00042185853bc7cee74614b4293ee4c651e4ff419c1af6f3b51b05eedb1dd082,025,KO_TO_EN,general,Q1,2,3,0,0,0,1.5,0.0,0.0,0.0,0.0,False,NONE,False,B_density_bottom,86fbce431d499a0b4d24e9a7639c8e3a
88,pair_000a595c426e1a5f7d3e68db0f6c7bd81f29338486923eb1c66ac33f47259dce,025,KO_TO_EN,general,Q1,1,2,0,0,0,2.0,0.0,0.0,0.0,0.0,False,NONE,False,C_punctuation,8c80ae107c9a7a1af7656d929ff949cb
89,pair_000e8cd93a87c7aef391855ce9932f044035f5bd3da30c25544f31eb9c03f18d,025,KO_TO_EN,general,Q1,1,4,0,1,1,4.0,0.0,0.25,0.25,0.25,False,NONE,False,B_deriv_affix_top,8d9a691054173fba7fa17c475ac2bb21
90,pair_000eccd1f478bf529c2f30f34ba49f80e488d99e5742797ef6cb81d2dbab58a1,025,KO_TO_EN,general,Q1,1,5,1,0,1,5.0,0.2,0.0,0.2,0.2,False,NONE,False,B_density_top,8daa4c11b1aed7f985f24ef763760305
91,pair_000358b47bd91e2ea39d058f6f396fe4f223812faa589265c07c724842722b0a,025,KO_TO_EN,other,Q3,13,24,5,3,1,1.8461538461538463,0.20833333333333334,0.125,0.041666666666666664,0.3333333333333333,False,NONE,False,C_mixed_latin,8ee77dc2d2794efb3495cb52951e03b3
92,pair_0001107486f843e06468b97b40434702fe58654cb93284eb7a0b1d637ad51cf3,025,KO_TO_EN,general,Q1,1,3,1,0,0,3.0,0.3333333333333333,0.0,0.0,0.3333333333333333,False,NONE,False,B_particle_top,92ee62607768e207694dc3142253c518
