no,pair_id,logical_corpus,translation_direction,domain,length_stratum,eojeol_count,morpheme_count,particle_count,ending_count,deriv_affix_count,morpheme_density,particle_ratio,ending_ratio,deriv_affix_ratio,function_morpheme_ratio,analysis_warning_flag,analysis_warning_reason,has_irregular_affix,sample_reason,stable_rank
1,pair_000a4688bb00f9f45d95697965ce91154709172b02ff7e4d1c985737100a0e4f,025,EN_TO_KO,general,Q1,5,10,2,1,0,2.0,0.2,0.1,0.0,0.3,False,NONE,False,A_domain_general,0017ffcb709151822e527fd53119f1fa
2,pair_0001bc13ae794f19814c18d2cfef814869449729e3d15ced4a670b808e63e665,025,KO_TO_EN,other,Q3,8,19,4,4,2,2.375,0.21052631578947367,0.21052631578947367,0.10526315789473684,0.42105263157894735,False,NONE,False,A_domain_other,002e5c0e81eee01fc6ca0504d9774078
3,pair_000df252558568d191f9d6ddcee07ba814332270b0be6f7bd7c85cd88bad0659,026,KO_TO_EN,other,Q5,18,40,7,10,3,2.2222222222222223,0.175,0.25,0.075,0.425,False,NONE,False,A_domain_other,009895855fd00bda22d1d5038e8e6e71
4,pair_0001cbc70cb6732008d04aa97319c936288235de94b0db1b2cf5bcc70d823886,026,KO_TO_EN,other,Q4,13,30,7,3,1,2.3076923076923075,0.23333333333333334,0.1,0.03333333333333333,0.3333333333333333,False,NONE,False,A_domain_other,009975b921361df0cd5243ede8c01668
5,pair_0002d473505003f08168f7ed77fac6511d4fa95776c475c0e2984a7c5c714f17,026,KO_TO_EN,technology,Q5,18,46,8,7,4,2.5555555555555554,0.17391304347826086,0.15217391304347827,0.08695652173913043,0.32608695652173914,False,NONE,False,A_domain_technology,00a8f7f3671cdc9e0c8448d87bc6fab7
6,pair_000be8524f68ef3dc1372eb309c847d202890dc58e4005c44dc127618f35e8a7,025,EN_TO_KO,general,Q1,4,11,1,3,1,2.75,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.36363636363636365,False,NONE,False,A_domain_general,00c56d81006a9c415e2deb44c7469a5b
7,pair_000dd94d0915f7f47ed8c8b6a0226f42f1e0362197e741f6669acd33f3f4bfef,025,EN_TO_KO,other,Q3,11,24,5,3,2,2.1818181818181817,0.20833333333333334,0.125,0.08333333333333333,0.3333333333333333,False,NONE,False,A_domain_other,00d42e40a292f572142ada5e4e092bdf
8,pair_000f1e84a36af5e37d9b5ab9917c9ff164708e1f5392216a5bf2866d3d1dc2f7,025,KO_TO_EN,other,Q2,5,13,1,4,0,2.6,0.07692307692307693,0.3076923076923077,0.0,0.38461538461538464,False,NONE,False,A_domain_other,00d6399979c3ab2177edc88ff0d4706e
9,pair_000e785a8cba0b56ac993e409ffd5b6365ebac0e58c50337d300e38d3496eedf,025,KO_TO_EN,general,Q1,2,7,0,2,0,3.5,0.0,0.2857142857142857,0.0,0.2857142857142857,False,NONE,False,A_domain_general,012b2515d9b87044ff3bd74e70461943
10,pair_000cbbcf2791caf741e4888c2e6e23b8f2b0ac8a238deda2521699113f40d7e5,025,KO_TO_EN,dialogue,Q1,2,6,1,1,1,3.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,False,NONE,False,A_domain_dialogue,014d48f02f5dec8f62fc32db9990a4fd
11,pair_0006aba20b779e512b2ca86a1316878f02d34e7607eff62334b63625ccacb508,025,KO_TO_EN,general,Q1,3,6,0,1,0,2.0,0.0,0.16666666666666666,0.0,0.16666666666666666,False,NONE,False,A_domain_general,0165c21a4f5d7c78ec8e0cab47704029
12,pair_0009a5b4b3fd5644cd22de516853d740c4c7a6c9da5461df203ed11993777cd4,026,KO_TO_EN,other,Q5,20,40,6,7,6,2.0,0.15,0.175,0.15,0.325,False,NONE,False,A_domain_other,01b08fa1db0a989f63c3e5dc24c82d0b
13,pair_000cd84be367b8e8c68d23e9936cfbf3bbd13cb47af0626bf50124af19013d95,025,EN_TO_KO,other,Q1,4,8,1,1,1,2.0,0.125,0.125,0.125,0.25,False,NONE,False,A_domain_other,01e3ca28bb4f156c8523f064bca1d144
14,pair_000d85231cbfb1935e3536ea6959097df33a762f2cd99bdac9afc3d20266b5be,026,KO_TO_EN,other,Q4,12,27,7,3,0,2.25,0.25925925925925924,0.1111111111111111,0.0,0.37037037037037035,False,NONE,False,A_domain_other,0278f418f7b9a9961901b441a42f3325
15,pair_00100969a88e63a5bf2a91e53d153dd0f22ec50e6d7e5f4fe8626a7cfcf7f83e,025,KO_TO_EN,other,Q2,7,14,3,2,0,2.0,0.21428571428571427,0.14285714285714285,0.0,0.35714285714285715,False,NONE,False,A_domain_other,030f22e663b52955bf1b79a86d776acf
16,pair_000aef11c02213e266dbf5a14895e969810446e2eb44419b60ee86b89cd947d2,025,EN_TO_KO,other,Q2,9,18,5,3,0,2.0,0.2777777777777778,0.16666666666666666,0.0,0.4444444444444444,False,NONE,False,A_domain_other,0367ceed4965d1718595265aca54f547
17,pair_000ae3c6c7bd41628bbcb24b57069ce9e1376ca2264eaca088a574b71fafe345,025,EN_TO_KO,general,Q1,3,6,1,1,0,2.0,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,False,NONE,False,A_domain_general,03a6e19a4386790019e8e127dd2e96c5
18,pair_000e09d08f36c5263c0394105277acc07bd0dce9816cdbadd1c06a77f4f737cb,025,EN_TO_KO,general,Q2,5,12,2,2,0,2.4,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,False,NONE,False,A_domain_general,042ad0ef53c39a6460b4df601deb330d
19,pair_000b7e88c239e169072134b307228cf623881a8fa39d36165b2e4c8b375c9c79,025,KO_TO_EN,dialogue,Q1,5,10,2,2,0,2.0,0.2,0.2,0.0,0.4,False,NONE,False,A_domain_dialogue,0537843924fdf53053dfc337f3de2206
20,pair_0000a4197dc93eab94dd1fb1557483a3e6b4a2ccd957f97242f57533e6b0ff11,025,KO_TO_EN,dialogue,Q1,6,11,3,1,0,1.8333333333333333,0.2727272727272727,0.09090909090909091,0.0,0.36363636363636365,False,NONE,False,A_domain_dialogue,05baf9eeedc62507f226508eba75b998
21,pair_0008a76a6b7ed2d5030ac0cc6f0853b7c9c7985a0d69972786962a7e697bcdfc,025,KO_TO_EN,general,Q1,2,6,0,1,0,3.0,0.0,0.16666666666666666,0.0,0.16666666666666666,False,NONE,False,A_domain_general,05ea9bc09d7b89b4344a46dd5e3e7662
22,pair_0003d40157e00ab7e3a73b1538064c3d95ac0b56737c130dabbb1a729fd1d32c,025,EN_TO_KO,dialogue,Q1,3,8,0,3,1,2.6666666666666665,0.0,0.375,0.125,0.375,False,NONE,False,A_domain_dialogue,05f6c5d14e443713c3c59cb637824ac3
23,pair_000c12b36d924104dae93d17001cffce1f3db23cf687fa399050207afb5d2313,025,EN_TO_KO,dialogue,Q3,9,19,5,3,0,2.111111111111111,0.2631578947368421,0.15789473684210525,0.0,0.42105263157894735,False,NONE,False,A_domain_dialogue,073a282f8c0c5547b43ae39f5d5057e5
24,pair_000c48a8011095dc53828aa16c074d4ca715af74cce5fc7d9c94f339245cbbff,025,EN_TO_KO,general,Q1,3,6,1,1,0,2.0,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,False,NONE,False,A_domain_general,073edaf1513aa8b2e492c2b8f0d236a8
25,pair_0004ab81df17dadf4067eb2e4d7129f97b10432f7b46950f11d7af298152ee1e,025,EN_TO_KO,dialogue,Q1,3,8,1,2,1,2.6666666666666665,0.125,0.25,0.125,0.375,False,NONE,False,A_domain_dialogue,07730f2f1a35d85693901f885d60148a
26,pair_000e215dc919bc38ac8a488fe422afb269735f4d5680d93998d96a1a23b6dcaf,025,EN_TO_KO,general,Q1,5,11,1,2,1,2.2,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.2727272727272727,False,NONE,False,A_domain_general,07ff9d40d59578460191dbd86d5c4d2d
27,pair_000d6e65fc941936d9984f1970457c40433fb8c7ad0295764a1568f2a383e8b0,025,EN_TO_KO,general,Q2,5,16,2,4,1,3.2,0.125,0.25,0.0625,0.375,False,NONE,False,A_domain_general,08b9d8125feef635c309c86ea5d47fba
28,pair_000d15872ff9088b0e8f25e14ef5c4d4783794a52dae977c63f5a8ad365fce2e,025,EN_TO_KO,dialogue,Q3,8,17,4,2,2,2.125,0.23529411764705882,0.11764705882352941,0.11764705882352941,0.35294117647058826,False,NONE,False,A_domain_dialogue,09139131267c4b42a5a358ae896cb10b
29,pair_000cc6cc18d435c6e2b8db9ed95a5ac75b7b88ac7bffc1c72d409caf845d0321,025,EN_TO_KO,dialogue,Q1,3,7,1,1,1,2.3333333333333335,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,False,NONE,False,A_domain_dialogue,0949e9792585cc2ca5a008cc58652b4e
30,pair_00077d13104fb90aac572176b8345248302b4d563aef6520c5eb0f128ca728c6,025,KO_TO_EN,dialogue,Q2,6,13,3,2,0,2.1666666666666665,0.23076923076923078,0.15384615384615385,0.0,0.38461538461538464,False,NONE,False,A_domain_dialogue,097e9202fcceea854c6d9a69c2855a38
31,pair_000d2edc2537a5e3f2389e5389902ec1aa20e506f9521d506e6149a164b27d5e,026,KO_TO_EN,technology,Q5,17,61,6,6,6,3.588235294117647,0.09836065573770492,0.09836065573770492,0.09836065573770492,0.19672131147540983,False,NONE,False,A_domain_technology,099627c71c09a77ab00a969b42ce35a2
32,pair_00019505a4867517e16db7515f8eec83b7cf8328a4e51b2ef0b7e65064d5c800,026,KO_TO_EN,technology,Q4,21,43,6,10,3,2.0476190476190474,0.13953488372093023,0.23255813953488372,0.06976744186046512,0.37209302325581395,False,NONE,False,A_domain_technology,0ace85fc35d29294c47dcb236c75cc20
33,pair_0008a24e90817bb1042ea783c1199dcde566964e9ca0e7d974560b792c374cca,025,EN_TO_KO,dialogue,Q2,6,11,1,2,1,1.8333333333333333,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.2727272727272727,False,NONE,False,A_domain_dialogue,0bc475d73773ab6daaa786839022aeef
34,pair_0009ad7c4d5895ea5d5c6c64abc7fb6e4c0bfcc4fce0d747323828d0438142a0,026,KO_TO_EN,technology,Q5,25,44,7,7,3,1.76,0.1590909090909091,0.1590909090909091,0.06818181818181818,0.3181818181818182,False,NONE,False,A_domain_technology,0d12c135c42e142edf6ef598286976f3
35,pair_000e0a628fa2809bcaa9e681c1f1deeab6ad644cc426a2031ee68f4621e72995,026,KO_TO_EN,technology,Q4,18,32,4,4,2,1.7777777777777777,0.125,0.125,0.0625,0.25,False,NONE,False,A_domain_technology,0d7320c4b75b591910525eeb22c9b68d
36,pair_00007a300d4eee89e41bce9ef057118f7c197c7177dbeaca3edddab432220e04,025,UNKNOWN,other,Q3,12,27,5,6,2,2.25,0.18518518518518517,0.2222222222222222,0.07407407407407407,0.4074074074074074,False,NONE,False,D_direction_fill_UNKNOWN,0ed7764ba1387028d05d973478e57dad
37,pair_0008949c0bdf472425f3346d02c5e4d9330a02e61c8d15bf6f4da97241159d00,026,KO_TO_EN,technology,Q4,16,42,6,5,2,2.625,0.14285714285714285,0.11904761904761904,0.047619047619047616,0.2619047619047619,False,NONE,False,A_domain_technology,0f26458761a3ae75ec09cfbf3e6006c5
