group,field,records,absent,null,empty,missing_or_empty_rate,type_counts,raw_value_exported
구어체,SID,400000,0,0,0,0.0,"{""integer"": 200000, ""number"": 200000}",False
구어체,번역문,400000,0,0,0,0.0,"{""string"": 400000}",False
구어체,원문,400000,0,0,0,0.0,"{""string"": 400000}",False
대화체,Set Nr.,100000,0,0,0,0.0,"{""integer"": 100000}",False
대화체,대분류,100000,0,0,0,0.0,"{""string"": 100000}",False
대화체,발화자,100000,0,0,0,0.0,"{""string"": 100000}",False
대화체,번역문,100000,0,0,0,0.0,"{""string"": 100000}",False
대화체,상황,100000,0,0,0,0.0,"{""string"": 100000}",False
대화체,소분류,100000,0,0,0,0.0,"{""string"": 100000}",False
대화체,원문,100000,0,0,0,0.0,"{""string"": 100000}",False
문어체뉴스,ID,801387,0,0,0,0.0,"{""integer"": 801387}",False
문어체뉴스,URL,801387,0,0,95180,0.11876908410044086,"{""string"": 801387}",False
문어체뉴스,날짜,801387,0,0,0,0.0,"{""datetime"": 296665, ""integer"": 504722}",False
문어체뉴스,번역문,801387,0,0,0,0.0,"{""string"": 801387}",False
문어체뉴스,언론사,801387,0,0,0,0.0,"{""string"": 801387}",False
문어체뉴스,원문,801387,0,0,0,0.0,"{""string"": 801387}",False
문어체뉴스,자동분류1,801387,0,0,0,0.0,"{""string"": 801387}",False
문어체뉴스,자동분류2,801387,0,325,254341,0.31778154624419913,"{""null"": 325, ""string"": 801062}",False
문어체뉴스,자동분류3,801387,0,542,453201,0.566197105767875,"{""null"": 542, ""string"": 800845}",False
조례,ID,100298,0,0,0,0.0,"{""number"": 100298}",False
조례,번역문,100298,0,0,0,0.0,"{""string"": 100298}",False
조례,원문,100298,0,0,0,0.0,"{""string"": 100298}",False
조례,지자체,100298,0,0,0,0.0,"{""string"": 100298}",False
지자체웹,ID,100087,0,0,0,0.0,"{""number"": 100087}",False
지자체웹,번역문,100087,0,0,0,0.0,"{""string"": 100087}",False
지자체웹,원문,100087,0,0,0,0.0,"{""string"": 100087}",False
지자체웹,지자체,100087,0,0,0,0.0,"{""string"": 100087}",False
한국문화,ID,100646,0,0,0,0.0,"{""number"": 100646}",False
한국문화,번역문,100646,0,0,0,0.0,"{""string"": 100646}",False
한국문화,원문,100646,0,0,0,0.0,"{""string"": 100646}",False
한국문화,키워드,100646,0,0,0,0.0,"{""string"": 100646}",False
