comparison,condition_number_full,delta_r2,delta_r2_ratio_vs_primary,dropped_zero_variance_columns_full,effective_p_full,n,nb09_primary_delta_r2,nb09_primary_partial_r2,outcome,p_full,p_reduced,partial_r2,r2_full,r2_reduced,rank_full,status,subset,variant
SENS_M2A,340.3613540558423,0.007062196667337872,0.8627310015046104,0,,3728608,0.008185861705469422,0.01667871728318581,B,26,23,0.015729497432433424,0.5580843003503213,0.5510221036829834,,OK,NO_ANOMALY,V0
RQ3,297.41846688069023,0.635366693618736,1.0232112721555005,0,,2387120,0.6209535712798299,0.6392520223337895,A,23,8,0.68181850121646,0.7034959795135122,0.06812928589477618,,OK,CENTRAL_LENGTH,V0
RQ4,398.3717456996262,0.0057653781805724336,0.8748321939929693,0,,2387120,0.0065902675051974224,0.018806679336993738,A,27,23,0.01944451940689678,0.7092613576940846,0.7034959795135122,,OK,CENTRAL_LENGTH,V0
RQ5,2325.9755429229776,0.1070778003483891,0.7102063891754601,0,,2387120,0.15076997613708454,0.4384997592528629,A,45,27,0.3682957294535405,0.8163391580424737,0.7092613576940846,,OK,CENTRAL_LENGTH,V0
SENS_M2A,373.06454514053564,0.005369433464204598,0.9187024918257876,0,,2387120,0.005844583542528148,0.01667871728361731,A,26,23,0.01810914218092126,0.7088654129777168,0.7034959795135122,,OK,CENTRAL_LENGTH,V0
RQ3,297.41846688069023,0.3959015828948793,1.2099570370633208,0,,2387120,0.327203008675225,0.4000037530343109,B,23,8,0.4539665097919163,0.5238073328667265,0.12790574997184723,,OK,CENTRAL_LENGTH,V0
RQ4,398.3717456996262,0.009259337557118608,1.0031503780123263,0,,2387120,0.009230258752895404,0.018806679336804823,B,27,23,0.019444519406106624,0.5330666704238451,0.5238073328667265,,OK,CENTRAL_LENGTH,V0
RQ5,2325.9755429229776,0.171969551222936,0.8143776745806038,0,,2387120,0.2111668290900761,0.43849975925302154,B,45,27,0.3682957294546447,0.7050362216467811,0.5330666704238451,,OK,CENTRAL_LENGTH,V0
SENS_M2A,373.06454514053564,0.008623440714212727,1.053455460706224,0,,2387120,0.008185861705469422,0.01667871728318581,B,26,23,0.018109142180048016,0.5324307735809393,0.5238073328667265,,OK,CENTRAL_LENGTH,V0
RQ3,206.71350284933928,0.6047057576899072,0.9738340926899981,2,,2485963,0.6209535712798299,0.6392520223337895,A,21,6,0.6210222895794235,0.630979423165854,0.026273665475946784,,OK,SOURCE_025,V0
RQ4,269.4440302681141,0.00776749355504347,1.178630996225514,2,,2485963,0.0065902675051974224,0.018806679336993738,A,25,21,0.021048944266689282,0.6387469167208975,0.630979423165854,,OK,SOURCE_025,V0
RQ5,921.4994824149675,0.17942656878098884,1.1900682972705976,2,,2485963,0.15076997613708454,0.4384997592528629,A,43,25,0.4966783041748177,0.8181734855018863,0.6387469167208975,,OK,SOURCE_025,V0
SENS_M2A,255.99700997163876,0.006916513992335616,1.183405787941529,2,,2485963,0.005844583542528148,0.01667871728361731,A,24,21,0.018742895183983737,0.6378959371581896,0.630979423165854,,OK,SOURCE_025,V0
RQ3,206.71350284933928,0.38750564265940557,1.18429730896526,2,,2485963,0.327203008675225,0.4000037530343109,B,21,6,0.3990221521022766,0.41636747246558425,0.028861829806178685,,OK,SOURCE_025,V0
RQ4,269.4440302681141,0.012284848544291016,1.3309321952038917,2,,2485963,0.009230258752895404,0.018806679336804823,B,25,21,0.021048944266675747,0.42865232100987527,0.41636747246558425,,OK,SOURCE_025,V0
RQ5,921.4994824149675,0.28377599629490924,1.343847409736217,2,,2485963,0.2111668290900761,0.43849975925302154,B,43,25,0.4966783041746006,0.7124283173047845,0.42865232100987527,,OK,SOURCE_025,V0
SENS_M2A,255.99700997163876,0.010938963289504278,1.3363239794529338,2,,2485963,0.008185861705469422,0.01667871728318581,B,24,21,0.018742895183920718,0.42730643575508853,0.41636747246558425,,OK,SOURCE_025,V0
RQ3,,,,3,20,1350025,,,A,,,,,,19,NOT_IDENTIFIABLE_EXACT_IDENTITY,SOURCE_026,V0
RQ4,,,,3,24,1350025,,,A,,,,,,23,NOT_IDENTIFIABLE_EXACT_IDENTITY,SOURCE_026,V0
RQ5,,,,3,42,1350025,,,A,,,,,,41,NOT_IDENTIFIABLE_EXACT_IDENTITY,SOURCE_026,V0
SENS_M2A,,,,3,23,1350025,,,A,,,,,,22,NOT_IDENTIFIABLE_EXACT_IDENTITY,SOURCE_026,V0
RQ3,,,,3,20,1350025,,,B,,,,,,19,NOT_IDENTIFIABLE_EXACT_IDENTITY,SOURCE_026,V0
RQ4,,,,3,24,1350025,,,B,,,,,,23,NOT_IDENTIFIABLE_EXACT_IDENTITY,SOURCE_026,V0
RQ5,,,,3,42,1350025,,,B,,,,,,41,NOT_IDENTIFIABLE_EXACT_IDENTITY,SOURCE_026,V0
SENS_M2A,,,,3,23,1350025,,,B,,,,,,22,NOT_IDENTIFIABLE_EXACT_IDENTITY,SOURCE_026,V0
RQ3,210.40841476072154,0.6209968152048682,1.0000696411568246,0,,3835988,0.6209535712798299,0.6392520223337895,A,23,8,0.6392965405841246,0.6496215991940572,0.028624783989188995,,OK,FULL,V1_SM01
RQ4,280.17622664729515,0.006573348872567664,0.9974327851462151,0,,3835988,0.0065902675051974224,0.018806679336993738,A,27,23,0.01876071372392705,0.6561949480666248,0.6496215991940572,,OK,FULL,V1_SM01
RQ5,1137.3187925874706,0.1507481228340829,0.9998550553395208,0,,3835988,0.15076997613708454,0.4384997592528629,A,45,27,0.4384697722920484,0.8069430709007077,0.6561949480666248,,OK,FULL,V1_SM01
SENS_M2A,265.5492289674431,0.005827621324779986,0.9970977884694886,0,,3835988,0.005844583542528148,0.01667871728361731,A,26,23,0.016632364641699517,0.6554492205188371,0.6496215991940572,,OK,FULL,V1_SM01
RQ3,210.40841476072154,0.3272635756577579,1.0001851052127488,0,,3835988,0.327203008675225,0.4000037530343109,B,23,8,0.4000777958141166,0.5092637289234231,0.1820001532656652,,OK,FULL,V1_SM01
RQ4,280.17622664729515,0.009206562695620035,0.9974327851569778,0,,3835988,0.009230258752895404,0.018806679336804823,B,27,23,0.01876071372393706,0.5184702916190431,0.5092637289234231,,OK,FULL,V1_SM01
RQ5,1137.3187925874706,0.21113622158576684,0.9998550553396991,0,,3835988,0.2111668290900761,0.43849975925302154,B,45,27,0.4384697722922814,0.72960651320481,0.5184702916190431,,OK,FULL,V1_SM01
SENS_M2A,265.5492289674431,0.008162104603367415,0.9970977884849761,0,,3835988,0.008185861705469422,0.01667871728318581,B,26,23,0.016632364641524042,0.5174258335267905,0.5092637289234231,,OK,FULL,V1_SM01
RQ3,210.17715834477315,0.6212213784257288,1.0004312836873568,1,,3785441,0.6209535712798299,0.6392520223337895,A,22,7,0.6391226970724939,0.6492305834324705,0.028009205006741755,,OK,KNOWN_DIR,V1_SM01
RQ4,279.6739824873388,0.006596625784819454,1.0009647984117516,1,,3785441,0.0065902675051974224,0.018806679336993738,A,26,22,0.01880616003918199,0.65582720921729,0.6492305834324705,,OK,KNOWN_DIR,V1_SM01
RQ5,1133.3169025616694,0.15096895684376732,1.0013197634687019,1,,3785441,0.15076997613708454,0.4384997592528629,A,44,26,0.43864291683382967,0.8067961660610573,0.65582720921729,,OK,KNOWN_DIR,V1_SM01
SENS_M2A,265.1228128726842,0.005860911505681687,1.0027936914640245,1,,3785441,0.005844583542528148,0.01667871728361731,A,25,22,0.016708730091220356,0.6550914949381522,0.6492305834324705,,OK,KNOWN_DIR,V1_SM01
RQ3,210.17715834477315,0.3264110389274837,0.9975795768170108,1,,3785441,0.327203008675225,0.4000037530343109,B,22,7,0.3997269899771002,0.5098261019278998,0.1834150630004161,,OK,KNOWN_DIR,V1_SM01
RQ4,279.6739824873388,0.009218288774323957,0.9987031806050192,1,,3785441,0.009230258752895404,0.018806679336804823,B,26,22,0.018806160039488738,0.5190443907022237,0.5098261019278998,,OK,KNOWN_DIR,V1_SM01
RQ5,1133.3169025616694,0.2109677713301925,0.9990573436143293,1,,3785441,0.2111668290900761,0.43849975925302154,B,44,26,0.43864291683429574,0.7300121620324163,0.5190443907022237,,OK,KNOWN_DIR,V1_SM01
SENS_M2A,265.1228128726842,0.008190183360864856,1.000527941413003,1,,3785441,0.008185861705469422,0.01667871728318581,B,25,22,0.016708730091662596,0.5180162852887646,0.5098261019278998,,OK,KNOWN_DIR,V1_SM01
RQ3,245.461694362285,0.6549578362282543,1.0547613646513687,0,,3728608,0.6209535712798299,0.6392520223337895,A,23,8,0.6712446921535442,0.6792215006053044,0.024263664377050076,,OK,NO_ANOMALY,V1_SM01
RQ4,333.112676319471,0.00530196700896457,0.804514688483156,0,,3728608,0.0065902675051974224,0.018806679336993738,A,27,23,0.016528436347726876,0.684523467614269,0.6792215006053044,,OK,NO_ANOMALY,V1_SM01
RQ5,1726.729546004324,0.12254623464390446,0.8128026400460645,0,,3728608,0.15076997613708454,0.4384997592528629,A,45,27,0.3884480208945241,0.8070697022581734,0.684523467614269,,OK,NO_ANOMALY,V1_SM01
SENS_M2A,314.48198919858186,0.005057350631424429,0.8653055593481701,0,,3728608,0.005844583542528148,0.01667871728361731,A,26,23,0.0157658653587057,0.6842788512367288,0.6792215006053044,,OK,NO_ANOMALY,V1_SM01
RQ3,245.461694362285,0.3557745163765096,1.0873204308755122,0,,3728608,0.327203008675225,0.4000037530343109,B,23,8,0.4420648586888303,0.5509728919457844,0.19519837556927477,,OK,NO_ANOMALY,V1_SM01
RQ4,333.112676319471,0.007421715973676912,0.804063696627012,0,,3728608,0.009230258752895404,0.018806679336804823,B,27,23,0.016528436347279088,0.5583946079194613,0.5509728919457844,,OK,NO_ANOMALY,V1_SM01
RQ5,1726.729546004324,0.17154074056998891,0.8123470021743607,0,,3728608,0.2111668290900761,0.43849975925302154,B,45,27,0.3884480208944183,0.7299353484894502,0.5583946079194613,,OK,NO_ANOMALY,V1_SM01
SENS_M2A,314.48198919858186,0.007079300927843257,0.864820489590386,0,,3728608,0.008185861705469422,0.01667871728318581,B,26,23,0.01576586535837498,0.5580521928736276,0.5509728919457844,,OK,NO_ANOMALY,V1_SM01
RQ3,269.6785672987737,0.6353482440919178,1.023181560551169,0,,2387120,0.6209535712798299,0.6392520223337895,A,23,8,0.6817987028404203,0.703477529986694,0.06812928589477618,,OK,CENTRAL_LENGTH,V1_SM01
RQ4,369.6253488215548,0.0057749569792867605,0.8762856704575852,0,,2387120,0.0065902675051974224,0.018806679336993738,A,27,23,0.019475613362547592,0.7092524869659808,0.703477529986694,,OK,CENTRAL_LENGTH,V1_SM01
RQ5,2252.1675319475958,0.10708782011492668,0.710272846482109,0,,2387120,0.15076997613708454,0.4384997592528629,A,45,27,0.36831895481216637,0.8163403070809074,0.7092524869659808,,OK,CENTRAL_LENGTH,V1_SM01
SENS_M2A,344.47956315309295,0.005378525151519042,0.9202580667009328,0,,2387120,0.005844583542528148,0.01667871728361731,A,26,23,0.018138676476280834,0.708856055138213,0.703477529986694,,OK,CENTRAL_LENGTH,V1_SM01
RQ3,269.6785672987737,0.395871952506029,1.2098664804728718,0,,2387120,0.327203008675225,0.4000037530343109,B,23,8,0.45393253366049546,0.5237777024778763,0.12790574997184723,,OK,CENTRAL_LENGTH,V1_SM01
RQ4,369.6253488215548,0.00927472134139573,1.004817046812082,0,,2387120,0.009230258752895404,0.018806679336804823,B,27,23,0.019475613363032118,0.533052423819272,0.5237777024778763,,OK,CENTRAL_LENGTH,V1_SM01
RQ5,2252.1675319475958,0.17198564321095122,0.8144538796743895,0,,2387120,0.2111668290900761,0.43849975925302154,B,45,27,0.3683189548121472,0.7050380670302232,0.533052423819272,,OK,CENTRAL_LENGTH,V1_SM01
SENS_M2A,344.47956315309295,0.008638042185773243,1.0552392034673264,0,,2387120,0.008185861705469422,0.01667871728318581,B,26,23,0.018138676476760197,0.5324157446636495,0.5237777024778763,,OK,CENTRAL_LENGTH,V1_SM01
RQ3,188.33301401016632,0.6048896810141614,0.9741302876597365,2,,2485963,0.6209535712798299,0.6392520223337895,A,21,6,0.6212111756326534,0.6311633464901082,0.026273665475946784,,OK,SOURCE_025,V1_SM01
RQ4,248.11412607543164,0.007707557263089138,1.1695363286862883,2,,2485963,0.0065902675051974224,0.018806679336993738,A,25,21,0.020896939579467335,0.6388709037531973,0.6311633464901082,,OK,SOURCE_025,V1_SM01
RQ5,892.5460174041565,0.1792814663869139,1.1891058881902712,2,,2485963,0.15076997613708454,0.4384997592528629,A,43,25,0.49644702753164327,0.8181523701401112,0.6388709037531973,,OK,SOURCE_025,V1_SM01
SENS_M2A,235.0233391594521,0.006864551981829448,1.1745151612393754,2,,2485963,0.005844583542528148,0.01667871728361731,A,24,21,0.018611360656555106,0.6380278984719376,0.6311633464901082,,OK,SOURCE_025,V1_SM01
RQ3,188.33301401016632,0.3877965305972171,1.1851863226054133,2,,2485963,0.327203008675225,0.4000037530343109,B,21,6,0.3993216851108015,0.41665836040339577,0.028861829806178685,,OK,SOURCE_025,V1_SM01
RQ4,248.11412607543164,0.012190054996884192,1.320662326292894,2,,2485963,0.009230258752895404,0.018806679336804823,B,25,21,0.020896939579547122,0.42884841540027996,0.41665836040339577,,OK,SOURCE_025,V1_SM01
RQ5,892.5460174041565,0.2835465064444095,1.3427606393779716,2,,2485963,0.2111668290900761,0.43849975925302154,B,43,25,0.4964470275314517,0.7123949218446894,0.42884841540027996,,OK,SOURCE_025,V1_SM01
SENS_M2A,235.0233391594521,0.01085678164049686,1.326284517272366,2,,2485963,0.008185861705469422,0.01667871728318581,B,24,21,0.018611360656517858,0.4275151420438926,0.41665836040339577,,OK,SOURCE_025,V1_SM01
RQ3,,,,3,20,1350025,,,A,,,,,,19,NOT_IDENTIFIABLE_EXACT_IDENTITY,SOURCE_026,V1_SM01
RQ4,,,,3,24,1350025,,,A,,,,,,23,NOT_IDENTIFIABLE_EXACT_IDENTITY,SOURCE_026,V1_SM01
RQ5,,,,3,42,1350025,,,A,,,,,,41,NOT_IDENTIFIABLE_EXACT_IDENTITY,SOURCE_026,V1_SM01
SENS_M2A,,,,3,23,1350025,,,A,,,,,,22,NOT_IDENTIFIABLE_EXACT_IDENTITY,SOURCE_026,V1_SM01
RQ3,,,,3,20,1350025,,,B,,,,,,19,NOT_IDENTIFIABLE_EXACT_IDENTITY,SOURCE_026,V1_SM01
RQ4,,,,3,24,1350025,,,B,,,,,,23,NOT_IDENTIFIABLE_EXACT_IDENTITY,SOURCE_026,V1_SM01
RQ5,,,,3,42,1350025,,,B,,,,,,41,NOT_IDENTIFIABLE_EXACT_IDENTITY,SOURCE_026,V1_SM01
SENS_M2A,,,,3,23,1350025,,,B,,,,,,22,NOT_IDENTIFIABLE_EXACT_IDENTITY,SOURCE_026,V1_SM01
RQ3,229.26094517328386,0.6209535712797958,0.9999999999999452,0,,3835988,0.6209535712798299,0.6392520223337895,A,23,8,0.6392520223337517,0.6495783552689848,0.028624783989188995,,OK,FULL,V2_M3DENS
RQ4,301.2599021399668,0.006590267505281688,1.0000000000127864,0,,3835988,0.0065902675051974224,0.018806679336993738,A,27,23,0.018806679337232148,0.6561686227742665,0.6495783552689848,,OK,FULL,V2_M3DENS
RQ5,653.3554761483509,0.15076997613693077,0.9999999999989801,0,,3835988,0.15076997613708454,0.4384997592528629,A,45,27,0.43849975925247414,0.8069385989111972,0.6561686227742665,,OK,FULL,V2_M3DENS
SENS_M2A,286.4925541099341,0.00584458354250883,0.9999999999966948,0,,3835988,0.005844583542528148,0.01667871728361731,A,26,23,0.016678717283560355,0.6554229388114936,0.6495783552689848,,OK,FULL,V2_M3DENS
RQ3,229.26094517328386,0.3272030086751767,0.9999999999998525,0,,3835988,0.327203008675225,0.4000037530343109,B,23,8,0.40000375303425184,0.5092031619408419,0.1820001532656652,,OK,FULL,V2_M3DENS
RQ4,301.2599021399668,0.009230258752943143,1.000000000005172,0,,3835988,0.009230258752895404,0.018806679336804823,B,27,23,0.018806679336900244,0.5184334206937851,0.5092031619408419,,OK,FULL,V2_M3DENS
RQ5,653.3554761483509,0.2111668290898815,0.9999999999990784,0,,3835988,0.2111668290900761,0.43849975925302154,B,45,27,0.4384997592526169,0.7296002497836666,0.5184334206937851,,OK,FULL,V2_M3DENS
SENS_M2A,286.4925541099341,0.008185861705525488,1.0000000000068492,0,,3835988,0.008185861705469422,0.01667871728318581,B,26,23,0.016678717283298405,0.5173890236463674,0.5092031619408419,,OK,FULL,V2_M3DENS
RQ3,228.92971320162633,0.6211786309431373,1.0003624420145352,1,,3785441,0.6209535712798299,0.6392520223337895,A,22,7,0.6390787177644474,0.649187835949879,0.028009205006741755,,OK,KNOWN_DIR,V2_M3DENS
RQ4,300.65152071550057,0.006613606046281584,1.0035413647573115,1,,3785441,0.0065902675051974224,0.018806679336993738,A,26,22,0.018852271169641343,0.6558014419961606,0.649187835949879,,OK,KNOWN_DIR,V2_M3DENS
RQ5,650.2341609193159,0.1509901135572992,1.0014600879157431,1,,3785441,0.15076997613708454,0.4384997592528629,A,44,26,0.43867154596160446,0.8067915555534598,0.6558014419961606,,OK,KNOWN_DIR,V2_M3DENS
SENS_M2A,285.96111994379953,0.005877953841734507,1.0057096111234514,1,,3785441,0.005844583542528148,0.01667871728361731,A,25,22,0.016755273744996815,0.6550657897916136,0.649187835949879,,OK,KNOWN_DIR,V2_M3DENS
RQ3,228.92971320162633,0.32635130253328426,0.9973970100538222,1,,3785441,0.327203008675225,0.4000037530343109,B,22,7,0.3996538360509221,0.5097663655337004,0.1834150630004161,,OK,KNOWN_DIR,V2_M3DENS
RQ4,300.65152071550057,0.009242017413540804,1.001273925353578,1,,3785441,0.009230258752895404,0.018806679336804823,B,26,22,0.01885227116985204,0.5190083829472412,0.5097663655337004,,OK,KNOWN_DIR,V2_M3DENS
RQ5,650.2341609193159,0.2109973362471924,0.9991973510062444,1,,3785441,0.2111668290900761,0.43849975925302154,B,44,26,0.43867154596178465,0.7300057191944336,0.5190083829472412,,OK,KNOWN_DIR,V2_M3DENS
SENS_M2A,285.96111994379953,0.008213998744687867,1.0034372727308165,1,,3785441,0.008185861705469422,0.01667871728318581,B,25,22,0.01675527374540542,0.5179803642783882,0.5097663655337004,,OK,KNOWN_DIR,V2_M3DENS
RQ3,269.69637478319873,0.6549929923845128,1.0548179810521505,0,,3728608,0.6209535712798299,0.6392520223337895,A,23,8,0.6712807225389823,0.6792566567615629,0.024263664377050076,,OK,NO_ANOMALY,V2_M3DENS
RQ4,359.1640187344596,0.005288880228334958,0.8025289146705921,0,,3728608,0.0065902675051974224,0.018806679336993738,A,27,23,0.016489446592826907,0.6845455369898978,0.6792566567615629,,OK,NO_ANOMALY,V2_M3DENS
RQ5,1075.4641363550306,0.12252054807324153,0.8126322707767906,0,,3728608,0.15076997613708454,0.4384997592528629,A,45,27,0.38839376975090667,0.8070660850631394,0.6845455369898978,,OK,NO_ANOMALY,V2_M3DENS
SENS_M2A,340.3613540558423,0.005045131593930385,0.8632148992686056,0,,3728608,0.005844583542528148,0.01667871728361731,A,26,23,0.015729497432406224,0.6843017883554933,0.6792566567615629,,OK,NO_ANOMALY,V2_M3DENS
RQ3,269.69637478319873,0.35582372811370866,1.0874708321123416,0,,3728608,0.327203008675225,0.4000037530343109,B,23,8,0.4421260063501982,0.5510221036829834,0.19519837556927477,,OK,NO_ANOMALY,V2_M3DENS
RQ4,359.1640187344596,0.007403397042481941,0.8020790359923115,0,,3728608,0.009230258752895404,0.018806679336804823,B,27,23,0.01648944659238751,0.5584255007254654,0.5510221036829834,,OK,NO_ANOMALY,V2_M3DENS
RQ5,1075.4641363550306,0.1715047843990316,0.8121767284097158,0,,3728608,0.2111668290900761,0.43849975925302154,B,45,27,0.3883937697507393,0.729930285124497,0.5584255007254654,,OK,NO_ANOMALY,V2_M3DENS
SENS_M2A,340.3613540558423,0.007062196667337872,0.8627310015046104,0,,3728608,0.008185861705469422,0.01667871728318581,B,26,23,0.015729497432433424,0.5580843003503213,0.5510221036829834,,OK,NO_ANOMALY,V2_M3DENS
RQ3,297.41846688069023,0.635366693618736,1.0232112721555005,0,,2387120,0.6209535712798299,0.6392520223337895,A,23,8,0.68181850121646,0.7034959795135122,0.06812928589477618,,OK,CENTRAL_LENGTH,V2_M3DENS
RQ4,398.3717456996262,0.0057653781805724336,0.8748321939929693,0,,2387120,0.0065902675051974224,0.018806679336993738,A,27,23,0.01944451940689678,0.7092613576940846,0.7034959795135122,,OK,CENTRAL_LENGTH,V2_M3DENS
RQ5,1378.4596455216256,0.1070778003484254,0.7102063891757009,0,,2387120,0.15076997613708454,0.4384997592528629,A,45,27,0.36829572945366534,0.81633915804251,0.7092613576940846,,OK,CENTRAL_LENGTH,V2_M3DENS
SENS_M2A,373.06454514053564,0.005369433464204598,0.9187024918257876,0,,2387120,0.005844583542528148,0.01667871728361731,A,26,23,0.01810914218092126,0.7088654129777168,0.7034959795135122,,OK,CENTRAL_LENGTH,V2_M3DENS
RQ3,297.41846688069023,0.3959015828948793,1.2099570370633208,0,,2387120,0.327203008675225,0.4000037530343109,B,23,8,0.4539665097919163,0.5238073328667265,0.12790574997184723,,OK,CENTRAL_LENGTH,V2_M3DENS
RQ4,398.3717456996262,0.009259337557118608,1.0031503780123263,0,,2387120,0.009230258752895404,0.018806679336804823,B,27,23,0.019444519406106624,0.5330666704238451,0.5238073328667265,,OK,CENTRAL_LENGTH,V2_M3DENS
RQ5,1378.4596455216256,0.17196955122274038,0.8143776745796775,0,,2387120,0.2111668290900761,0.43849975925302154,B,45,27,0.3682957294542258,0.7050362216465855,0.5330666704238451,,OK,CENTRAL_LENGTH,V2_M3DENS
SENS_M2A,373.06454514053564,0.008623440714212727,1.053455460706224,0,,2387120,0.008185861705469422,0.01667871728318581,B,26,23,0.018109142180048016,0.5324307735809393,0.5238073328667265,,OK,CENTRAL_LENGTH,V2_M3DENS
RQ3,206.71350284933928,0.6047057576899072,0.9738340926899981,2,,2485963,0.6209535712798299,0.6392520223337895,A,21,6,0.6210222895794235,0.630979423165854,0.026273665475946784,,OK,SOURCE_025,V2_M3DENS
RQ4,269.4440302681141,0.00776749355504347,1.178630996225514,2,,2485963,0.0065902675051974224,0.018806679336993738,A,25,21,0.021048944266689282,0.6387469167208975,0.630979423165854,,OK,SOURCE_025,V2_M3DENS
RQ5,574.6320076503431,0.17942656878097352,1.1900682972704961,2,,2485963,0.15076997613708454,0.4384997592528629,A,43,25,0.49667830417477526,0.818173485501871,0.6387469167208975,,OK,SOURCE_025,V2_M3DENS
SENS_M2A,255.99700997163876,0.006916513992335616,1.183405787941529,2,,2485963,0.005844583542528148,0.01667871728361731,A,24,21,0.018742895183983737,0.6378959371581896,0.630979423165854,,OK,SOURCE_025,V2_M3DENS
