comparison,condition_number_full,delta_r2,delta_r2_ratio_vs_primary,dropped_zero_variance_columns_full,effective_p_full,n,nb09_primary_delta_r2,nb09_primary_partial_r2,outcome,p_full,p_reduced,partial_r2,r2_full,r2_reduced,rank_full,status,subset,variant
RQ3,229.26094517328386,0.6209535712797958,0.9999999999999452,0,,3835988,0.6209535712798299,0.6392520223337895,A,23,8,0.6392520223337517,0.6495783552689848,0.028624783989188995,,OK,FULL,V0
RQ4,301.2599021399668,0.006590267505281688,1.0000000000127864,0,,3835988,0.0065902675051974224,0.018806679336993738,A,27,23,0.018806679337232148,0.6561686227742665,0.6495783552689848,,OK,FULL,V0
RQ5,1172.8096165798327,0.15076997613705012,0.9999999999997717,0,,3835988,0.15076997613708454,0.4384997592528629,A,45,27,0.43849975925282125,0.8069385989113166,0.6561686227742665,,OK,FULL,V0
SENS_M2A,286.4925541099341,0.00584458354250883,0.9999999999966948,0,,3835988,0.005844583542528148,0.01667871728361731,A,26,23,0.016678717283560355,0.6554229388114936,0.6495783552689848,,OK,FULL,V0
RQ3,229.26094517328386,0.3272030086751767,0.9999999999998525,0,,3835988,0.327203008675225,0.4000037530343109,B,23,8,0.40000375303425184,0.5092031619408419,0.1820001532656652,,OK,FULL,V0
RQ4,301.2599021399668,0.009230258752943143,1.000000000005172,0,,3835988,0.009230258752895404,0.018806679336804823,B,27,23,0.018806679336900244,0.5184334206937851,0.5092031619408419,,OK,FULL,V0
RQ5,1172.8096165798327,0.21116682909014672,1.0000000000003344,0,,3835988,0.2111668290900761,0.43849975925302154,B,45,27,0.43849975925316764,0.7296002497839318,0.5184334206937851,,OK,FULL,V0
SENS_M2A,286.4925541099341,0.008185861705525488,1.0000000000068492,0,,3835988,0.008185861705469422,0.01667871728318581,B,26,23,0.016678717283298405,0.5173890236463674,0.5092031619408419,,OK,FULL,V0
RQ3,228.92971320162633,0.6211786309431373,1.0003624420145352,1,,3785441,0.6209535712798299,0.6392520223337895,A,22,7,0.6390787177644474,0.649187835949879,0.028009205006741755,,OK,KNOWN_DIR,V0
RQ4,300.65152071550057,0.006613606046281584,1.0035413647573115,1,,3785441,0.0065902675051974224,0.018806679336993738,A,26,22,0.018852271169641343,0.6558014419961606,0.649187835949879,,OK,KNOWN_DIR,V0
RQ5,1168.5801693484336,0.15099011355726977,1.001460087915548,1,,3785441,0.15076997613708454,0.4384997592528629,A,44,26,0.43867154596151897,0.8067915555534304,0.6558014419961606,,OK,KNOWN_DIR,V0
SENS_M2A,285.96111994379953,0.005877953841734507,1.0057096111234514,1,,3785441,0.005844583542528148,0.01667871728361731,A,25,22,0.016755273744996815,0.6550657897916136,0.649187835949879,,OK,KNOWN_DIR,V0
RQ3,228.92971320162633,0.32635130253328426,0.9973970100538222,1,,3785441,0.327203008675225,0.4000037530343109,B,22,7,0.3996538360509221,0.5097663655337004,0.1834150630004161,,OK,KNOWN_DIR,V0
RQ4,300.65152071550057,0.009242017413540804,1.001273925353578,1,,3785441,0.009230258752895404,0.018806679336804823,B,26,22,0.01885227116985204,0.5190083829472412,0.5097663655337004,,OK,KNOWN_DIR,V0
RQ5,1168.5801693484336,0.21099733624726358,0.9991973510065815,1,,3785441,0.2111668290900761,0.43849975925302154,B,44,26,0.4386715459619326,0.7300057191945047,0.5190083829472412,,OK,KNOWN_DIR,V0
SENS_M2A,285.96111994379953,0.008213998744687867,1.0034372727308165,1,,3785441,0.008185861705469422,0.01667871728318581,B,25,22,0.01675527374540542,0.5179803642783882,0.5097663655337004,,OK,KNOWN_DIR,V0
RQ3,269.69637478319873,0.6549929923845128,1.0548179810521505,0,,3728608,0.6209535712798299,0.6392520223337895,A,23,8,0.6712807225389823,0.6792566567615629,0.024263664377050076,,OK,NO_ANOMALY,V0
RQ4,359.1640187344596,0.005288880228334958,0.8025289146705921,0,,3728608,0.0065902675051974224,0.018806679336993738,A,27,23,0.016489446592826907,0.6845455369898978,0.6792566567615629,,OK,NO_ANOMALY,V0
RQ5,1784.2262244339952,0.12252054807321255,0.8126322707765984,0,,3728608,0.15076997613708454,0.4384997592528629,A,45,27,0.38839376975081485,0.8070660850631104,0.6845455369898978,,OK,NO_ANOMALY,V0
SENS_M2A,340.3613540558423,0.005045131593930385,0.8632148992686056,0,,3728608,0.005844583542528148,0.01667871728361731,A,26,23,0.015729497432406224,0.6843017883554933,0.6792566567615629,,OK,NO_ANOMALY,V0
RQ3,269.69637478319873,0.35582372811370866,1.0874708321123416,0,,3728608,0.327203008675225,0.4000037530343109,B,23,8,0.4421260063501982,0.5510221036829834,0.19519837556927477,,OK,NO_ANOMALY,V0
RQ4,359.1640187344596,0.007403397042481941,0.8020790359923115,0,,3728608,0.009230258752895404,0.018806679336804823,B,27,23,0.01648944659238751,0.5584255007254654,0.5510221036829834,,OK,NO_ANOMALY,V0
RQ5,1784.2262244339952,0.17150478439917238,0.8121767284103824,0,,3728608,0.2111668290900761,0.43849975925302154,B,45,27,0.3883937697510581,0.7299302851246378,0.5584255007254654,,OK,NO_ANOMALY,V0
