outcome,comparison,full,reduced,df,n,r2_full,r2_reduced,delta_r2,partial_r2,adj_r2_full,adj_r2_reduced,aic_full,aic_reduced,bic_full,bic_reduced,nested_statistic,nested_stat_value,nested_p_value,hc1_robust_wald_chi2,hc1_robust_wald_p_value,delta_r2_bootstrap_ci95,delta_r2_bootstrap_sd,delta_r2_ci_construction,delta_r2_ci_construction_note,bootstrap_B,primary_evidence
A,RQ3,M1,M0,15,3835988,0.6495783552690232,0.028624783989193325,0.6209535712798299,0.6392520223337895,0.6495763455332242,0.0286230113974405,-4679998.209032388,-768948.107616108,-4679682.370530307,-768829.6681778275,likelihood_ratio_chi2,3911080.1014162824,0.0,3831946.8546608803,0.0,"[0.6202895044946536, 0.6215962573697347]",0.00033426213053719563,CONSTRUCTION-P,"one pseudo-outcome per comparison, y* = yhat_full + e_full*w, with the FULL model as the DGP because the target is an interval around the observed delta R-squared, not a null-imposed test; both models are evaluated on that same y*.",2000,delta_r2 / partial_r2 / stability
A,RQ4,M2,M1,4,3835988,0.6561686227742206,0.6495783552690232,0.0065902675051974224,0.018806679336993738,0.6561662922980224,0.6495763455332242,-4752819.410019599,-4679998.209032388,-4752450.93176717,-4679682.370530307,likelihood_ratio_chi2,72829.20098721064,0.0,25127.26853289902,0.0,"[0.006419325345086329, 0.006756893237067854]",8.835621330977735e-05,CONSTRUCTION-P,"one pseudo-outcome per comparison, y* = yhat_full + e_full*w, with the FULL model as the DGP because the target is an interval around the observed delta R-squared, not a null-imposed test; both models are evaluated on that same y*.",2000,delta_r2 / partial_r2 / stability
A,RQ5,M3,M2,18,3835988,0.8069385989113051,0.6561686227742206,0.15076997613708454,0.4384997592528629,0.8069363844097738,0.6561662922980224,-6966697.324017392,-4752819.410019599,-6966091.966888403,-4752450.93176717,likelihood_ratio_chi2,2213913.913997791,0.0,1729733.851936549,0.0,"[0.1503501350485121, 0.15120194383699992]",0.00022474304918168814,CONSTRUCTION-P,"one pseudo-outcome per comparison, y* = yhat_full + e_full*w, with the FULL model as the DGP because the target is an interval around the observed delta R-squared, not a null-imposed test; both models are evaluated on that same y*.",2000,delta_r2 / partial_r2 / stability
A,SENS_M2A,M2A,M1,3,3835988,0.6554229388115513,0.6495783552690232,0.005844583542528148,0.01667871728361731,0.6554206931098134,0.6495763455332242,-4744511.123010574,-4679998.209032388,-4744155.804695732,-4679682.370530307,likelihood_ratio_chi2,64518.913978183155,0.0,24197.215207488436,0.0,"[0.005692698025558568, 0.005987696883571844]",7.802697034696253e-05,CONSTRUCTION-P,"one pseudo-outcome per comparison, y* = yhat_full + e_full*w, with the FULL model as the DGP because the target is an interval around the observed delta R-squared, not a null-imposed test; both models are evaluated on that same y*.",2000,delta_r2 / partial_r2 / stability
B,RQ3,M1,M0,15,3835988,0.5092031619408902,0.1820001532656652,0.327203008675225,0.4000037530343109,0.5092003471262511,0.1819986605574324,-4679998.209032464,-2720483.2517742645,-4679682.370530383,-2720364.812335984,likelihood_ratio_chi2,1959544.9572581989,0.0,1189492.0294461043,0.0,"[0.32590870191687915, 0.32848039293868575]",0.0006498603754790373,CONSTRUCTION-P,"one pseudo-outcome per comparison, y* = yhat_full + e_full*w, with the FULL model as the DGP because the target is an interval around the observed delta R-squared, not a null-imposed test; both models are evaluated on that same y*.",2000,delta_r2 / partial_r2 / stability
B,RQ4,M2,M1,4,3835988,0.5184334206937856,0.5092031619408902,0.009230258752895404,0.018806679336804823,0.5184301566535459,0.5092003471262511,-4752819.410018935,-4679998.209032464,-4752450.931766506,-4679682.370530383,likelihood_ratio_chi2,72829.20098647269,0.0,25127.26853293195,0.0,"[0.008991333171408378, 0.00946675245154828]",0.0001214949548924973,CONSTRUCTION-P,"one pseudo-outcome per comparison, y* = yhat_full + e_full*w, with the FULL model as the DGP because the target is an interval around the observed delta R-squared, not a null-imposed test; both models are evaluated on that same y*.",2000,delta_r2 / partial_r2 / stability
B,RQ5,M3,M2,18,3835988,0.7296002497838617,0.5184334206937856,0.2111668290900761,0.43849975925302154,0.72959714817651,0.5184301566535459,-6966697.324017811,-4752819.410018935,-6966091.966888822,-4752450.931766506,likelihood_ratio_chi2,2213913.913998874,0.0,1729733.851937447,0.0,"[0.2105908458841643, 0.21173098581779518]",0.0002939923072861308,CONSTRUCTION-P,"one pseudo-outcome per comparison, y* = yhat_full + e_full*w, with the FULL model as the DGP because the target is an interval around the observed delta R-squared, not a null-imposed test; both models are evaluated on that same y*.",2000,delta_r2 / partial_r2 / stability
B,SENS_M2A,M2A,M1,3,3835988,0.5173890236463596,0.5092031619408902,0.008185861705469422,0.01667871728318581,0.5173858783403298,0.5092003471262511,-4744511.123008962,-4679998.209032464,-4744155.80469412,-4679682.370530383,likelihood_ratio_chi2,64518.91397649967,0.0,24197.215207525864,0.0,"[0.007977766905640818, 0.008398271738962538]",0.00010851312989449327,CONSTRUCTION-P,"one pseudo-outcome per comparison, y* = yhat_full + e_full*w, with the FULL model as the DGP because the target is an interval around the observed delta R-squared, not a null-imposed test; both models are evaluated on that same y*.",2000,delta_r2 / partial_r2 / stability
