card,metric,metric_ko,value,status,article_ready,n,ci_or_range,numerator,denominator,source_artifact,source_sha,audit_sha,note
CARD01,P_TP_gt_1,TP > 1 비율,0.8798502497922308,AUDITED_CANONICAL,YES,3835988,,"3,375,095","3,835,988",NB08_RQ1_CLOSEOUT,490a34f456bf97e06d6235d29085111c542039fb1ec855b279ba240847d0c3f8,NB08 canonical closeout,
CARD01,P_TP_eq_1,TP = 1 비율,0.05128222507473955,AUDITED_CANONICAL,YES,3835988,,"196,718","3,835,988",NB08_RQ1_CLOSEOUT,490a34f456bf97e06d6235d29085111c542039fb1ec855b279ba240847d0c3f8,NB08 canonical closeout,
CARD01,P_TP_lt_1,TP < 1 비율,0.06886752513302961,AUDITED_CANONICAL,YES,3835988,,"264,175","3,835,988",NB08_RQ1_CLOSEOUT,490a34f456bf97e06d6235d29085111c542039fb1ec855b279ba240847d0c3f8,NB08 canonical closeout,
CARD01,median_logTP,중앙 log Tokenization Premium,0.28768207245178085,AUDITED_CANONICAL,YES,3835988,median CI는 격자 점질량 때문에 퇴화(degenerate)했다,,,NB08_RQ1_CLOSEOUT,490a34f456bf97e06d6235d29085111c542039fb1ec855b279ba240847d0c3f8,NB08 canonical closeout,
CARD01,median_TP,중앙 Tokenization Premium (비율),1.3333333333333333,AUDITED_CANONICAL,YES,3835988,,,,NB08_RQ1_CLOSEOUT,490a34f456bf97e06d6235d29085111c542039fb1ec855b279ba240847d0c3f8,NB08 canonical closeout,정확히 4 / 3
CARD01,delta_T_mean,ΔT 평균,6.9520415600883005,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,
CARD01,delta_T_q05,ΔT 5분위,-1.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,
CARD01,delta_T_q25,ΔT 25분위,2.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,
CARD01,delta_T_q50,ΔT 중앙값,5.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,
CARD01,delta_T_q75,ΔT 75분위,10.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,
CARD01,delta_T_q95,ΔT 95분위,20.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,
CARD02,ko_token_mean,한국어 token 수 평균,27.122632813241335,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,
CARD02,ko_token_q05,한국어 token 수 5분위,8.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,
CARD02,ko_token_q25,한국어 token 수 25분위,14.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,
CARD02,ko_token_q50,한국어 token 수 중앙값,21.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,
CARD02,ko_token_q75,한국어 token 수 75분위,39.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,
CARD02,ko_token_q95,한국어 token 수 95분위,62.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,
CARD02,en_token_mean,영어 token 수 평균,20.170591253153034,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,
CARD02,en_token_q05,영어 token 수 5분위,6.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,
CARD02,en_token_q25,영어 token 수 25분위,10.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,
CARD02,en_token_q50,영어 token 수 중앙값,16.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,
CARD02,en_token_q75,영어 token 수 75분위,28.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,
CARD02,en_token_q95,영어 token 수 95분위,46.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-04 TOKEN_O200K_BASE_v001,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,
CARD03,log_code_point_ratio_median,log CR 중앙값,-0.760450862456052,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-02 + D-04,dfae8e01cd3f…/1c30e3276222…,,
CARD03,log_byte_density_ratio_median,log BDR 중앙값,0.8960880245566357,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-02 + D-04,dfae8e01cd3f…/1c30e3276222…,,
CARD03,log_compression_penalty_median,log CP 중앙값,0.17515428338028963,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-02 + D-04,dfae8e01cd3f…/1c30e3276222…,,
CARD03,log_token_premium_median,log TP 중앙값,0.28768207245178085,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-02 + D-04,dfae8e01cd3f…/1c30e3276222…,,
CARD03,identity_holds,정확 분해 항등식 성립,True,AUDITED_CANONICAL,YES,3835988,,,,G5 adjudication + 이 실행 재확인,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,9d99e13026b89dcf7d8846d0c105a811f64274bc,이 실행 재계산 max |err| 8.882e-16
CARD04,A_codepoint_deficit,표현 역전 A — 한국어 문자 수가 더 적음,0.9966913348008388,DESCRIPTIVE_PERSISTED,NO,3835988,,"3,823,296","3,835,988",D-02 + D-04,dfae8e01cd3fe2ca949d8754678e508203ad1a7aa6abea418008a33ac650d309,,
CARD04,B_codepoint_deficit_AND_byte_surplus,표현 역전 B — 문자는 적은데 byte는 더 많음 (표현층 내부 역전),0.7105209922450226,DESCRIPTIVE_PERSISTED,NO,3835988,,"2,725,550","3,835,988",D-02 + D-04,dfae8e01cd3fe2ca949d8754678e508203ad1a7aa6abea418008a33ac650d309,,
CARD04,C_codepoint_deficit_AND_token_surplus,표현 역전 C — 문자는 적은데 token은 더 많음 (표현→token 교차 역전),0.8768841299816371,DESCRIPTIVE_PERSISTED,NO,3835988,,"3,363,717","3,835,988",D-02 + D-04,dfae8e01cd3fe2ca949d8754678e508203ad1a7aa6abea418008a33ac650d309,,
CARD05,spearman_bdr_cp,"Spearman ρ(log BDR, log CP)",-0.050651933997599353,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-02 + D-04,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,
CARD06,ko_chunk_count_median,한국어 regex chunk 수 중앙값,11.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-05 + D-04,bfa98bd6cf7ee8b7254c469aed3e259ce43cc8f0529153347ca4c2c3fc1944ab,,
CARD06,ko_token_count_median,한국어 최종 token 수 중앙값,21.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-05 + D-04,bfa98bd6cf7ee8b7254c469aed3e259ce43cc8f0529153347ca4c2c3fc1944ab,,
CARD06,ko_tokens_per_chunk_median,한국어 chunk당 token 수 중앙값,2.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-05 + D-04,bfa98bd6cf7ee8b7254c469aed3e259ce43cc8f0529153347ca4c2c3fc1944ab,,
CARD06,ko_max_tokens_per_chunk_median,한국어 chunk당 최대 token 수 중앙값,4.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-05 + D-04,bfa98bd6cf7ee8b7254c469aed3e259ce43cc8f0529153347ca4c2c3fc1944ab,,
CARD06,en_chunk_count_median,영어 regex chunk 수 중앙값,15.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-05 + D-04,bfa98bd6cf7ee8b7254c469aed3e259ce43cc8f0529153347ca4c2c3fc1944ab,,
CARD06,en_token_count_median,영어 최종 token 수 중앙값,16.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-05 + D-04,bfa98bd6cf7ee8b7254c469aed3e259ce43cc8f0529153347ca4c2c3fc1944ab,,
CARD06,en_tokens_per_chunk_median,영어 chunk당 token 수 중앙값,1.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-05 + D-04,bfa98bd6cf7ee8b7254c469aed3e259ce43cc8f0529153347ca4c2c3fc1944ab,,
CARD06,en_max_tokens_per_chunk_median,영어 chunk당 최대 token 수 중앙값,1.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-05 + D-04,bfa98bd6cf7ee8b7254c469aed3e259ce43cc8f0529153347ca4c2c3fc1944ab,,
CARD06,ko_fewer_chunks_more_tokens,chunk는 적은데 token은 많은 문장쌍 비율,0.8100330345141852,DESCRIPTIVE_PERSISTED,NO,3835988,,"3,107,277","3,835,988",D-05 + D-04,bfa98bd6cf7ee8b7254c469aed3e259ce43cc8f0529153347ca4c2c3fc1944ab,,
