card,metric,metric_ko,value,status,article_ready,n,ci_or_range,numerator,denominator,source_artifact,source_sha,audit_sha,note
CARD07,layer_어절_ko_median,어절 (eojeol) 한국어 중앙값,9.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-02 + D-03 + D-04 + D-05,0fe5bd74e3993a7141c5c33ea78e71b2c66e3ecd296544bde2615acb43e50f7d,,
CARD07,layer_형태소_ko_median,형태소 (morpheme) 한국어 중앙값,19.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-02 + D-03 + D-04 + D-05,0fe5bd74e3993a7141c5c33ea78e71b2c66e3ecd296544bde2615acb43e50f7d,,
CARD07,layer_regex_ko_median,regex chunk 한국어 중앙값,11.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-02 + D-03 + D-04 + D-05,0fe5bd74e3993a7141c5c33ea78e71b2c66e3ecd296544bde2615acb43e50f7d,,
CARD07,layer_o200k_base_ko_median,o200k_base token 한국어 중앙값,21.0,DESCRIPTIVE_PERSISTED,NO,3835988,,,,D-02 + D-03 + D-04 + D-05,0fe5bd74e3993a7141c5c33ea78e71b2c66e3ecd296544bde2615acb43e50f7d,,
CARD08,cell_025-other_median_TP,025-other 중앙 TP,1.3571428571428572,DESCRIPTIVE_PERSISTED,NO,1165510,,,,D-01 + D-04,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,DESCRIPTIVE STRATUM — 순수 source/domain 효과 아님
CARD08,cell_026-other_median_TP,026-other 중앙 TP,1.3409090909090908,DESCRIPTIVE_PERSISTED,NO,990120,,,,D-01 + D-04,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,DESCRIPTIVE STRATUM — 순수 source/domain 효과 아님
CARD08,cell_025-general_median_TP,025-general 중앙 TP,1.2857142857142858,DESCRIPTIVE_PERSISTED,NO,804291,,,,D-01 + D-04,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,DESCRIPTIVE STRATUM — 순수 source/domain 효과 아님
CARD08,cell_025-dialogue_median_TP,025-dialogue 중앙 TP,1.2857142857142858,DESCRIPTIVE_PERSISTED,NO,516162,,,,D-01 + D-04,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,DESCRIPTIVE STRATUM — 순수 source/domain 효과 아님
CARD08,cell_026-technology_median_TP,026-technology 중앙 TP,1.4137931034482758,DESCRIPTIVE_PERSISTED,NO,359905,,,,D-01 + D-04,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,DESCRIPTIVE STRATUM — 순수 source/domain 효과 아님
CARD08,shared_domain_count,두 출처 공유 도메인 수,1,AUDITED_CANONICAL,YES,3835988,,,,G5_IDENTIFIABILITY (재확인),1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,9d99e13026b89dcf7d8846d0c105a811f64274bc,
CARD08,n_026_EN_TO_KO,026 계열 EN_TO_KO 관측 수,0,AUDITED_CANONICAL,YES,3835988,,,,G5_IDENTIFIABILITY (재확인),1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,9d99e13026b89dcf7d8846d0c105a811f64274bc,
CARD08,n_direction_unknown,방향 UNKNOWN 수,50547,AUDITED_CANONICAL,YES,3835988,,,,G5_IDENTIFIABILITY (재확인),1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,9d99e13026b89dcf7d8846d0c105a811f64274bc,
CARD09,boundary_token_premium >= 3,TP ≥ 3,0.0009507329011456761,DESCRIPTIVE_PERSISTED,NO,3835988,,"3,647","3,835,988",D-01…D-05,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,PLAUSIBLE_EXTREME — 짧은 문장의 성긴 비 격자에서 발생한다
CARD09,boundary_token_premium < 0.5,TP < 0.5,0.0003136089059715515,DESCRIPTIVE_PERSISTED,NO,3835988,,"1,203","3,835,988",D-01…D-05,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,PLAUSIBLE_EXTREME — 반대 방향 극단. 역시 짧은 문장에 집중된다
CARD09,boundary_morph_eojeol_count = 1,어절 수 = 1,0.010973965507712746,DESCRIPTIVE_PERSISTED,NO,3835988,,"42,096","3,835,988",D-01…D-05,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,EXPECTED_BOUNDARY — 제목·항목·짧은 구. 언어적 복잡도 지표가 아니다
CARD09,boundary_translation_direction = 'UNKNOWN',번역 방향 UNKNOWN,0.013177048520485466,DESCRIPTIVE_PERSISTED,NO,3835988,,"50,547","3,835,988",D-01…D-05,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,EXPECTED_BOUNDARY — 정책상 보존. 제거하지 않는다
CARD09,boundary_particle_ratio = 0,조사 비율 = 0,0.07616968561945449,DESCRIPTIVE_PERSISTED,NO,3835988,,"292,186","3,835,988",D-01…D-05,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,EXPECTED_BOUNDARY — 명사구·제목에서 자연스럽게 발생하는 0-질량
CARD09,boundary_ko_hangul_share < 0.1,한국어 측 한글 비율 < 0.1,0.0003649646453534265,DESCRIPTIVE_PERSISTED,NO,3835988,,"1,400","3,835,988",D-01…D-05,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,REVIEW_REQUIRED — 숫자·코드·고유명사 항목 가능성. 결함으로 확정하지 않았다
CARD09,boundary_en_hangul_share > 0.1,영어 측 한글 비율 > 0.1,3.6496464535342656e-06,DESCRIPTIVE_PERSISTED,NO,3835988,,14,"3,835,988",D-01…D-05,1c30e3276222dd94885ae4f79fc6ab5c45e4e26226de0afd91fc6b1f7d2c16e7,,POSSIBLE_DEFECT — 원문 미확인. 개수가 작아 집계값에 실질 영향 없음
CARD10,M0_r2_A,M0 설명력 R² (Outcome A),0.028624783989193325,AUDITED_RESULT,YES,3835988,,,,NB09_EXPLANATORY_RESULTS_v001,598951b79b005c4c2af54d3240904dfdcceff26e6629efcfc70aac940813a521,27814139a43bfbe3d4eb2e646e97c0107acfa582,
CARD10,M1_r2_A,M1 설명력 R² (Outcome A),0.6495783552690232,AUDITED_RESULT,YES,3835988,,,,NB09_EXPLANATORY_RESULTS_v001,598951b79b005c4c2af54d3240904dfdcceff26e6629efcfc70aac940813a521,27814139a43bfbe3d4eb2e646e97c0107acfa582,
CARD10,M2_r2_A,M2 설명력 R² (Outcome A),0.6561686227742206,AUDITED_RESULT,YES,3835988,,,,NB09_EXPLANATORY_RESULTS_v001,598951b79b005c4c2af54d3240904dfdcceff26e6629efcfc70aac940813a521,27814139a43bfbe3d4eb2e646e97c0107acfa582,
CARD10,M2A_r2_A,M2A 설명력 R² (Outcome A),0.6554229388115513,AUDITED_RESULT,YES,3835988,,,,NB09_EXPLANATORY_RESULTS_v001,598951b79b005c4c2af54d3240904dfdcceff26e6629efcfc70aac940813a521,27814139a43bfbe3d4eb2e646e97c0107acfa582,
CARD10,M3_r2_A,M3 설명력 R² (Outcome A),0.8069385989113051,AUDITED_RESULT,YES,3835988,,,,NB09_EXPLANATORY_RESULTS_v001,598951b79b005c4c2af54d3240904dfdcceff26e6629efcfc70aac940813a521,27814139a43bfbe3d4eb2e646e97c0107acfa582,
CARD10,RQ3_delta_r2_A,표현·표면형 block (M1 − M0) ΔR² (Outcome A),0.6209535712798299,AUDITED_RESULT,YES,3835988,"[0.620245, 0.621652]",,,NB09_EXPLANATORY_RESULTS_v001,598951b79b005c4c2af54d3240904dfdcceff26e6629efcfc70aac940813a521,27814139a43bfbe3d4eb2e646e97c0107acfa582,
CARD10,RQ3_partial_r2_A,표현·표면형 block (M1 − M0) partial R² (Outcome A),0.6392520223337895,AUDITED_RESULT,YES,3835988,,,,NB09_EXPLANATORY_RESULTS_v001,598951b79b005c4c2af54d3240904dfdcceff26e6629efcfc70aac940813a521,27814139a43bfbe3d4eb2e646e97c0107acfa582,
CARD10,RQ4_delta_r2_A,형태소 block (M2 − M1) ΔR² (Outcome A),0.0065902675051974224,AUDITED_RESULT,YES,3835988,"[0.006476, 0.006701]",,,NB09_EXPLANATORY_RESULTS_v001,598951b79b005c4c2af54d3240904dfdcceff26e6629efcfc70aac940813a521,27814139a43bfbe3d4eb2e646e97c0107acfa582,
CARD10,RQ4_partial_r2_A,형태소 block (M2 − M1) partial R² (Outcome A),0.018806679336993738,AUDITED_RESULT,YES,3835988,,,,NB09_EXPLANATORY_RESULTS_v001,598951b79b005c4c2af54d3240904dfdcceff26e6629efcfc70aac940813a521,27814139a43bfbe3d4eb2e646e97c0107acfa582,
CARD10,RQ5_delta_r2_A,regex/tokenizer mechanism block (M3 − M2) ΔR² (Outcome A),0.15076997613708454,AUDITED_RESULT,YES,3835988,"[0.150248, 0.151317]",,,NB09_EXPLANATORY_RESULTS_v001,598951b79b005c4c2af54d3240904dfdcceff26e6629efcfc70aac940813a521,27814139a43bfbe3d4eb2e646e97c0107acfa582,
CARD10,RQ5_partial_r2_A,regex/tokenizer mechanism block (M3 − M2) partial R² (Outcome A),0.4384997592528629,AUDITED_RESULT,YES,3835988,,,,NB09_EXPLANATORY_RESULTS_v001,598951b79b005c4c2af54d3240904dfdcceff26e6629efcfc70aac940813a521,27814139a43bfbe3d4eb2e646e97c0107acfa582,
CARD11,B_N01_structural_equivalence,B-N01 구조적 동치 (M1 이상),True,AUDITED_RESULT,YES,3835988,,,,NB09_EXPLANATORY_RESULTS_v001,598951b79b005c4c2af54d3240904dfdcceff26e6629efcfc70aac940813a521,27814139a43bfbe3d4eb2e646e97c0107acfa582,RQ4·RQ5 partial R²가 두 outcome에서 동일 — 독립 재현이 아니다
