outcome,outcome_column,model,n,p,rank,r2,adj_r2,aic,bic,ssr,sst,hc1_scale,se_type
A,log_token_premium,M0,3835988,8,8,0.028624783989193325,0.0286230113974405,-768948.107616108,-768829.6681778275,183799.2649613159,189215.51830005832,1.0000020855166085,HC1
A,log_token_premium,M1,3835988,23,23,0.6495783552690232,0.6495763455332242,-4679998.209032388,-4679682.370530307,66305.21313133067,189215.51830005832,1.0000059958836955,HC1
A,log_token_premium,M2,3835988,27,27,0.6561686227742206,0.6561662922980224,-4752819.410019599,-4752450.93176717,65058.23224959872,189215.51830005832,1.000007038653417,HC1
A,log_token_premium,M2A,3835988,26,26,0.6554229388115513,0.6554206931098134,-4744511.123010574,-4744155.804695732,65199.32722708321,189215.51830005832,1.0000067779607826,HC1
A,log_token_premium,M3,3835988,45,45,0.8069385989113051,0.8069363844097738,-6966697.324017392,-6966091.966888403,36530.21307073283,189215.51830005832,1.000011731144076,HC1
B,log_compression_penalty,M0,3835988,8,8,0.1820001532656652,0.1819986605574324,-2720483.2517742645,-2720364.812335984,110509.37979470573,135097.06662646396,1.0000020855166085,HC1
B,log_compression_penalty,M1,3835988,23,23,0.5092031619408902,0.5092003471262511,-4679998.209032464,-4679682.370530383,66305.2131313294,135097.06662646396,1.0000059958836955,HC1
B,log_compression_penalty,M2,3835988,27,27,0.5184334206937856,0.5184301566535459,-4752819.410018935,-4752450.931766506,65058.23224960998,135097.06662646396,1.000007038653417,HC1
B,log_compression_penalty,M2A,3835988,26,26,0.5173890236463596,0.5173858783403298,-4744511.123008962,-4744155.80469412,65199.32722711057,135097.06662646396,1.0000067779607826,HC1
B,log_compression_penalty,M3,3835988,45,45,0.7296002497838617,0.72959714817651,-6966697.324017811,-6966091.966888822,36530.213070728845,135097.06662646396,1.000011731144076,HC1
